,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160331.0,126.0,1000000.0,1007305.1023813204,7305.102381320437,5651.576041040219,1548.0,0.032359008259504836
1,20160628.0,189.0,1007305.1023813204,957077.133047759,-50227.96933356149,5315.076451242187,1683.0,-0.10231050433658177
2,20160923.0,252.0,957077.133047759,1122763.690662109,165686.5576143501,6214.759160103103,1706.0,0.5658109246646412
3,20161221.0,315.0,1122763.690662109,1121614.1945039802,-1149.4961581288371,5289.474885456162,1581.0,0.0007656361217064731
4,20170321.0,378.0,1121614.1945039802,1183996.6935199553,62382.499015975045,5714.434417262118,1585.0,0.35394936013359557
5,20170621.0,441.0,1183996.6935199553,1275526.947901249,91530.25438129366,5119.28467620311,1399.0,0.345149077589904
6,20170918.0,504.0,1275526.947901249,1291111.1205909871,15584.172689738218,6240.342949897286,1533.0,0.0545613173533098
7,20171214.0,567.0,1291111.1205909871,1287141.2630990623,-3969.857491924893,4944.384180698739,1046.0,-0.05983079788982373
8,20180316.0,630.0,1287141.2630990623,1294875.5890892772,7734.325990214944,9294.393395265863,1718.0,0.03223029747224828
9,20180618.0,693.0,1294875.5890892772,1494080.951170244,199205.36208096682,8562.709853395441,1676.0,0.7772326170840115
10,20180913.0,756.0,1494080.951170244,1457018.22130879,-37062.72986145411,6813.7113274830535,1544.0,-0.07566064018705794
11,20181211.0,819.0,1457018.22130879,1373747.2688411798,-83270.95246761013,3696.576226189656,689.0,-0.545389341218906
12,20190313.0,882.0,1373747.2688411798,1456304.1262817248,82556.85744054499,5069.938691623364,1046.0,0.4590492919817279
13,20190613.0,945.0,1456304.1262817248,1398420.960436453,-57883.165845271666,5534.783725460159,897.0,-0.19725898336086545
14,20190910.0,1008.0,1398420.960436453,1315887.808724446,-82533.15171200712,5785.984694126932,1451.0,-0.15852214148206473
15,20191206.0,1071.0,1315887.808724446,1442112.2356425256,126224.42691807961,6261.675172235088,1485.0,0.27121191909397424
16,20200309.0,1134.0,1442112.2356425256,1462575.3738073015,20463.13816477591,2810.104666390758,443.0,0.1870497321298907
17,20200609.0,1197.0,1462575.3738073015,1579846.81376191,117271.43995460845,7313.014066811106,1277.0,0.243275407553291
