,datadate,iter_num,previous_total_asset,end_total_asset,total_reward,total_cost,total_trade,sharpe
0,20160401.0,126.0,1000000.0,991799.1677148645,-8200.832285135519,2792.7677759883168,985.0,-0.0739901948938987
1,20160630.0,189.0,991799.1677148645,977622.4648749691,-14176.702839895384,1544.758158585482,503.0,-0.1272907774854142
2,20160927.0,252.0,977622.4648749691,1004721.3224982868,27098.857623317745,5591.236788913354,1601.0,0.1090096291800424
3,20161227.0,315.0,1004721.3224982868,1042669.8101364146,37948.48763812776,3389.2987128116642,1058.0,0.46754868037208197
4,20170324.0,378.0,1042669.8101364146,1053987.5615788642,11317.751442449633,5243.824455007615,1452.0,0.0859225125188216
5,20170626.0,441.0,1053987.5615788642,1119255.2667375917,65267.70515872748,3778.041581998713,1449.0,0.2948209340739468
6,20170921.0,504.0,1119255.2667375917,1051558.1906771986,-67697.07606039313,4528.895017892083,1540.0,-0.266250895905769
7,20171219.0,567.0,1051558.1906771986,1092833.6035039488,41275.412826750195,4696.3355047007535,1574.0,0.19208359658461469
8,20180321.0,630.0,1092833.6035039488,1109648.8404594979,16815.236955549102,1926.0096496064864,677.0,0.1388473728783025
9,20180621.0,693.0,1109648.8404594979,1119628.9972059093,9980.156746411463,2626.0488639234345,705.0,0.11095212111696255
10,20180918.0,756.0,1119628.9972059093,1122021.5204866275,2392.523280718131,843.784358007641,261.0,0.07483703544854843
11,20181217.0,819.0,1122021.5204866275,1118753.9388987988,-3267.581587828696,656.7802931864787,215.0,-0.08450987026981928
12,20190321.0,882.0,1118753.9388987988,1176936.2679477744,58182.329048975604,5241.768485035971,1416.0,0.2247730272578256
13,20190624.0,945.0,1176936.2679477744,1248303.4307043557,71367.16275658133,2782.5586383596474,682.0,0.4033715897057491
14,20190919.0,1008.0,1248303.4307043557,1306821.9219377013,58518.49123334559,6791.264321486927,1644.0,0.2239543679113601
15,20191218.0,1071.0,1306821.9219377013,1338951.0987289194,32129.17679121811,3358.771449403904,883.0,0.1563287167407444
16,20200323.0,1134.0,1338951.0987289194,1340588.916668414,1637.8179394945037,1273.8367598918658,485.0,0.10608056837011112
17,20200624.0,1197.0,1340588.916668414,1512325.2284212015,171736.31175278756,5350.057557799302,1537.0,0.2330747565882263
