,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20151231,DANO,126,step_sell,0,62.28,0,0
1,20151231,PEUP,126,step_sell,0,16.2,0,0
2,20151231,HRMS,126,step_sell,0,311.75,0,0
3,20151231,TOTF,126,step_sell,0,41.27,0,0
4,20151231,DAST,126,step_sell,0,73.77,0,0
5,20151231,SAF,126,step_sell,0,63.37,0,0
6,20151231,SASY,126,step_sell,0,78.6,0,0
7,20151231,VIE,126,step_sell,0,21.86,0,0
8,20151231,LEGD,126,step_sell,0,52.2,0,0
9,20151231,STM,126,step_sell,0,6.18,0,0
10,20151231,ENGI,126,step_sell,0,16.32,0,0
11,20151231,SCHN,126,step_sell,0,52.56,0,0
12,20151231,ATOS,126,step_sell,0,77.45,0,0
13,20151231,OREP,126,step_sell,0,155.3,0,0
14,20151231,ALSO,126,step_sell,0,28.16,0,0
15,20151231,PERP,126,step_sell,0,105.2,0,0
16,20151231,LVMH,126,buy,6901.0,144.9,100.0,14.49
17,20151231,SOGN,126,buy,23150.0,42.57,100.0,18.747
18,20151231,CAGR,126,buy,90186.0,10.88,100.0,19.835
19,20151231,TEPR,126,buy,12647.0,77.5,100.0,27.585
20,20151231,TCFP,126,buy,14072.0,69.1,100.0,34.495
21,20151231,CAPP,126,buy,11278.0,85.6,100.0,43.055
22,20151231,AIR,126,buy,15433.0,62.0,72.3582,47.54120840454102
23,20151231,ESLX,126,buy,8278.0,115.05,66.28136,55.16687850570679
24,20151231,AIRP,126,buy,10293.0,91.78,48.126595,59.58393735290528
25,20151231,PRTP,126,buy,6404.0,146.82,39.70812,65.41388330207826
26,20151231,BOUY,126,buy,25568.0,36.55,30.630314,66.53342127414705
27,20151231,BNPP,126,buy,17870.0,52.23,16.76864,67.40924736841203
28,20151231,VIV,126,buy,46954.0,19.86,6.605491,67.54043242287636
29,20151231,MICP,126,buy,10607.0,87.9,5.4642735,68.02074205937386
30,20160104,PEUP,126,step_sell,0,15.47,0,68.02074205937386
31,20160104,MICP,126,sell,0,85.59,0.0,68.02074205937386
32,20160104,VIE,126,step_sell,0,21.56,0,68.02074205937386
33,20160104,ESLX,126,sell,0,111.8,0.0,68.02074205937386
34,20160104,ENGI,126,step_sell,0,15.72,0,68.02074205937386
35,20160104,PERP,126,step_sell,0,102.0,0,68.02074205937386
36,20160104,LEGD,126,step_sell,0,51.0,0,68.02074205937386
37,20160104,AIRP,126,sell,0,89.3,0.0,68.02074205937386
38,20160104,TCFP,126,sell,0,68.04,16.640472412109375,69.15295980229378
39,20160104,OREP,126,step_sell,0,150.9,0,69.15295980229378
40,20160104,LVMH,126,sell,0,139.2,28.532752990722656,73.12471901860238
41,20160104,STM,126,step_sell,0,6.05,0,73.12471901860238
42,20160104,PRTP,126,sell,0,141.11,0.0,73.12471901860238
43,20160104,DAST,126,step_sell,0,71.54,0,73.12471901860238
44,20160104,AIR,126,buy,15860.0,60.86,100.0,79.21071901860238
45,20160104,DANO,126,buy,15773.0,60.81,100.0,85.29171901860238
46,20160104,ALSO,126,buy,34420.0,27.69,100.0,88.06071901860238
47,20160104,TEPR,126,buy,12507.0,75.98,100.0,95.65871901860238
48,20160104,BNPP,126,buy,18405.0,51.22,100.0,100.78071901860238
49,20160104,BOUY,126,buy,25231.0,37.16,100.0,104.49671901860238
50,20160104,CAGR,126,buy,87935.0,10.62,100.0,105.55871901860237
51,20160104,SASY,126,buy,12025.0,77.57,100.0,113.31571901860238
52,20160104,CAPP,126,buy,11165.0,82.85,100.0,121.60071901860238
53,20160104,ATOS,126,buy,12174.0,75.3,95.97765,128.82783632740976
54,20160104,VIV,126,buy,47420.0,19.18,67.7597,130.12746731511118
55,20160104,TOTF,126,buy,22414.0,40.52,52.35938,132.2490693446827
56,20160104,SAF,126,buy,14551.0,62.27,49.08839,135.3058034117985
57,20160104,HRMS,126,buy,2902.0,311.15,47.216236,149.9971352788258
58,20160104,SCHN,126,buy,17350.0,51.2,39.181633,152.0032348882008
59,20160104,SOGN,126,buy,21408.0,41.4,29.147917,153.2099586434651
60,20160105,LVMH,126,sell,0,139.45,0.0,153.2099586434651
61,20160105,HRMS,126,sell,0,304.1,0.0,153.2099586434651
62,20160105,ESLX,126,step_sell,0,112.85,0,153.2099586434651
63,20160105,CAPP,126,sell,0,83.42,100.0,161.5519586434651
64,20160105,TCFP,126,sell,0,68.79,0.0,161.5519586434651
65,20160105,BNPP,126,sell,0,51.49,16.768640518188477,162.41537594374662
66,20160105,PERP,126,step_sell,0,102.0,0,162.41537594374662
67,20160105,BOUY,126,sell,0,37.3,34.70742416381836,163.70996286505704
68,20160105,MICP,126,step_sell,0,84.96,0,163.70996286505704
69,20160105,TOTF,126,sell,0,40.16,0.0,163.70996286505704
70,20160105,LEGD,126,step_sell,0,50.99,0,163.70996286505704
71,20160105,PRTP,126,step_sell,0,140.27,0,163.70996286505704
72,20160105,DAST,126,step_sell,0,71.66,0,163.70996286505704
73,20160105,SCHN,126,sell,0,51.43,16.15993881225586,164.54106851817136
74,20160105,SAF,126,buy,14932.0,61.94,100.0,170.73506851817135
75,20160105,PEUP,126,buy,58853.0,15.61,100.0,172.29606851817135
76,20160105,SOGN,126,buy,21978.0,41.73,84.4109,175.81853522082332
77,20160105,ATOS,126,buy,11994.0,76.17,83.17866,182.15425356501584
78,20160105,OREP,126,buy,5988.0,151.5,81.14535,194.4477737256909
79,20160105,VIE,126,buy,41607.0,21.51,77.29958,196.110487765379
80,20160105,DANO,126,buy,14598.0,61.19,73.65333,200.6173349021435
81,20160105,ALSO,126,buy,32109.0,27.68,59.26393,202.2577605198193
82,20160105,VIV,126,buy,46038.0,19.27,34.118347,202.91522106974605
83,20160105,SASY,126,buy,11294.0,78.49,23.314644,204.74518746630673
84,20160105,ENGI,126,buy,56169.0,15.75,19.54447,205.05301286618237
85,20160105,STM,126,buy,145693.0,6.07,16.272636,205.15178776921277
86,20160105,AIR,126,buy,14241.0,62.09,15.319014,206.1029453233624
87,20160105,CAGR,126,buy,82861.0,10.66,14.667699,206.2593029932118
88,20160105,TEPR,126,buy,11678.0,75.62,12.525457,207.20647808045393
89,20160105,AIRP,126,buy,9938.0,88.77,8.551863,207.96562693381316
90,20160106,OREP,126,sell,0,151.3,0.0,207.96562693381316
91,20160106,ESLX,126,step_sell,0,112.15,0,207.96562693381316
92,20160106,TCFP,126,step_sell,0,68.45,0,207.96562693381316
93,20160106,STM,126,sell,0,5.93,0.0,207.96562693381316
94,20160106,MICP,126,step_sell,0,82.68,0,207.96562693381316
95,20160106,CAGR,126,sell,0,10.41,91.029236,208.91324127890593
96,20160106,PEUP,126,sell,0,14.79,29.093971252441406,209.34354111372954
97,20160106,DANO,126,sell,0,60.7,67.28779,213.4279098690701
98,20160106,ALSO,126,sell,0,27.48,47.026028,214.72018510970122
99,20160106,AIRP,126,sell,0,87.53,0.0,214.72018510970122
100,20160106,VIV,126,sell,0,19.06,38.921825,215.46203510199553
101,20160106,SCHN,126,sell,0,50.52,0.0,215.46203510199553
102,20160106,HRMS,126,step_sell,0,301.0,0,215.46203510199553
103,20160106,CAPP,126,sell,0,82.8,19.020828,217.03695968085296
104,20160106,TOTF,126,buy,22757.0,39.77,100.0,221.01395968085296
105,20160106,ATOS,126,buy,11873.0,75.89,100.0,228.60295968085296
106,20160106,SOGN,126,buy,21834.0,40.92,100.0,232.69495968085297
107,20160106,TEPR,126,buy,11858.0,75.0,96.29229,239.9168814108945
108,20160106,BOUY,126,buy,24049.0,36.68,76.738464,242.7316482834531
109,20160106,PRTP,126,buy,6296.0,139.66,70.74,252.61119638510715
110,20160106,LEGD,126,buy,17302.0,50.25,63.994415,255.82691575308812
111,20160106,SASY,126,buy,11187.0,77.43,63.96639,260.77983323031435
112,20160106,BNPP,126,buy,17054.0,50.5,55.32552,263.5737719681836
113,20160106,LVMH,126,buy,6279.0,136.7,41.557587,269.2546940659619
114,20160106,SAF,126,buy,13866.0,61.5,30.853647,271.15219337073336
115,20160106,VIE,126,buy,39742.0,21.41,29.219658,271.77778624632845
116,20160106,AIR,126,buy,13877.0,61.27,23.151588,273.19628407004365
117,20160106,ENGI,126,buy,54273.0,15.64,11.959707,273.3833338915921
118,20160106,PERP,126,buy,8361.0,101.5,1.9309328,273.57932356675633
119,20160106,DAST,126,buy,11985.0,70.79,1.3224959,273.6729430541612
120,20160107,VIV,126,sell,0,19.06,0.0,273.6729430541612
121,20160107,ATOS,126,sell,0,74.23,100.0,281.0959430541612
122,20160107,BNPP,126,sell,0,49.39,0.0,281.0959430541612
123,20160107,TOTF,126,sell,0,38.8,0.0,281.0959430541612
124,20160107,CAPP,126,sell,0,81.32,0.0,281.0959430541612
125,20160107,STM,126,step_sell,0,5.83,0,281.0959430541612
126,20160107,PEUP,126,sell,0,14.38,0.0,281.0959430541612
127,20160107,VIE,126,sell,0,21.22,6.5192413330078125,281.2342813552476
128,20160107,ESLX,126,step_sell,0,111.85,0,281.2342813552476
129,20160107,SASY,126,sell,0,76.59,91.15365,288.2157392844011
130,20160107,PERP,126,sell,0,99.98,0.0,288.2157392844011
131,20160107,CAGR,126,sell,0,10.15,61.360703468322754,288.83855042460453
132,20160107,AIRP,126,step_sell,0,85.51,0,288.83855042460453
133,20160107,HRMS,126,step_sell,0,300.5,0,288.83855042460453
134,20160107,PRTP,126,sell,0,134.74,24.63665,292.15809265711795
135,20160107,ENGI,126,sell,0,15.44,8.407299041748047,292.2879013543225
136,20160107,ALSO,126,sell,0,27.27,18.483349,292.7919422773648
137,20160107,OREP,126,step_sell,0,150.85,0,292.7919422773648
138,20160107,DAST,126,sell,0,70.33,0.21964908,292.80739019691237
139,20160107,TEPR,126,buy,12039.0,73.56,100.0,300.16339019691236
140,20160107,TCFP,126,buy,12785.0,68.69,100.0,307.0323901969124
141,20160107,DANO,126,buy,14584.0,59.75,100.0,313.0073901969124
142,20160107,SOGN,126,buy,21667.0,39.94,100.0,317.00139019691244
143,20160107,SCHN,126,buy,17409.0,49.48,100.0,321.9493901969124
144,20160107,LEGD,126,buy,17225.0,49.72,100.0,326.9213901969124
145,20160107,BOUY,126,buy,23567.0,36.13,99.90623,330.5310021824623
146,20160107,SAF,126,buy,14060.0,60.3,95.718315,336.30281658447035
147,20160107,AIR,126,buy,14025.0,60.04,63.278603,340.1020638845802
148,20160107,LVMH,126,buy,6136.0,136.6,51.810818,347.1794215849281
149,20160107,MICP,126,buy,10181.0,81.64,36.480564,350.1576948394752
150,20160108,AIRP,126,step_sell,0,84.21,0,350.1576948394752
151,20160108,SOGN,126,sell,0,38.91,100.0,354.0486948394752
152,20160108,MICP,126,sell,0,81.44,0.0,354.0486948394752
153,20160108,VIE,126,sell,0,21.16,0.0,354.0486948394752
154,20160108,HRMS,126,step_sell,0,301.45,0,354.0486948394752
155,20160108,ESLX,126,step_sell,0,110.95,0,354.0486948394752
156,20160108,ALSO,126,sell,0,27.63,6.221977233886719,354.2206080704475
157,20160108,PEUP,126,step_sell,0,14.22,0,354.2206080704475
158,20160108,CAGR,126,sell,0,10.02,0.0,354.2206080704475
159,20160108,AIR,126,sell,0,58.76,42.64486,356.72642000373605
160,20160108,STM,126,step_sell,0,5.58,0,356.72642000373605
161,20160108,DANO,126,sell,0,59.73,16.801397,357.7299674658752
162,20160108,VIV,126,step_sell,0,18.75,0,357.7299674658752
163,20160108,SCHN,126,sell,0,49.66,4.5150905,357.95418685839417
164,20160108,TOTF,126,buy,22542.0,37.35,100.0,361.6891868583942
165,20160108,ATOS,126,buy,11592.0,72.31,100.0,368.9201868583942
166,20160108,CAPP,126,buy,10407.0,79.85,100.0,376.9051868583942
167,20160108,SAF,126,buy,13806.0,59.61,100.0,382.8661868583942
168,20160108,LVMH,126,buy,6036.0,135.35,85.87178,394.4889323349262
169,20160108,TCFP,126,buy,11630.0,69.25,69.863686,399.32699256327396
170,20160108,ENGI,126,buy,53193.0,15.05,49.141193,400.06656752379183
171,20160108,PERP,126,buy,8066.0,99.16,46.103725,404.6382129377628
172,20160108,TEPR,126,buy,10887.0,73.04,41.34527,407.6580713307071
173,20160108,BNPP,126,buy,16504.0,48.0,38.517212,409.5068975025821
174,20160108,LEGD,126,buy,15980.0,49.46,34.85207,411.23068087759736
175,20160108,SASY,126,buy,10561.0,74.67,34.299946,413.7918578328204
176,20160108,OREP,126,buy,5254.0,149.6,24.015259,417.3845405476642
177,20160108,BOUY,126,buy,21906.0,35.72,8.856047,417.70087853495363
178,20160108,PRTP,126,buy,5886.0,132.88,0.56453943,417.77589453474764
179,20160108,DAST,126,buy,11267.0,69.41,0.44198632,417.8065728053856
180,20160111,VIV,126,step_sell,0,18.72,0,417.8065728053856
181,20160111,PRTP,126,sell,0,132.32,0.0,417.8065728053856
182,20160111,ALSO,126,sell,0,27.75,0.0,417.8065728053856
183,20160111,HRMS,126,step_sell,0,300.0,0,417.8065728053856
184,20160111,SASY,126,sell,0,73.65,30.427330017089844,420.0475456611443
185,20160111,SCHN,126,sell,0,48.7,5.285156726837158,420.3049327937413
186,20160111,VIE,126,step_sell,0,21.31,0,420.3049327937413
187,20160111,PERP,126,sell,0,99.21,0.0,420.3049327937413
188,20160111,ENGI,126,sell,0,15.05,4.701362609863281,420.3756883010197
189,20160111,BOUY,126,sell,0,35.48,42.604248,421.88728702172284
190,20160111,DAST,126,sell,0,68.77,0.0,421.88728702172284
191,20160111,LEGD,126,sell,0,48.91,31.591791,423.43244152701385
192,20160111,MICP,126,step_sell,0,81.26,0,423.43244152701385
193,20160111,CAGR,126,step_sell,0,10.06,0,423.43244152701385
194,20160111,LVMH,126,buy,5981.0,135.2,100.0,436.95244152701383
195,20160111,SOGN,126,buy,20456.0,38.87,100.0,440.83944152701383
196,20160111,ATOS,126,buy,10948.0,72.27,100.0,448.0664415270138
197,20160111,BNPP,126,buy,16367.0,47.9,100.0,452.8564415270138
198,20160111,CAPP,126,buy,9658.0,80.68,100.0,460.9244415270138
199,20160111,SAF,126,buy,13157.0,58.61,100.0,466.7854415270138
200,20160111,AIR,126,buy,13169.0,58.11,100.0,472.5964415270138
201,20160111,TOTF,126,buy,20333.0,37.35,100.0,476.3314415270138
202,20160111,STM,126,buy,131889.0,5.73,100.0,476.9044415270138
203,20160111,TCFP,126,buy,10520.0,71.78,100.0,484.08244152701377
204,20160111,TEPR,126,buy,10150.0,73.69,78.46545,489.8645602775478
205,20160111,PEUP,126,buy,51936.0,14.29,55.932472,490.6638353057003
206,20160111,OREP,126,buy,4992.0,148.5,42.558376,496.9837541880703
207,20160111,ESLX,126,buy,6784.0,108.35,38.169693,501.1194404238796
208,20160111,AIRP,126,buy,8785.0,83.2,32.956024,503.8613816348171
209,20160111,DANO,126,buy,12396.0,58.74,13.661149,504.66383752854347
210,20160112,PERP,126,step_sell,0,100.15,0,504.66383752854347
211,20160112,ESLX,126,sell,0,111.8,0.0,504.66383752854347
212,20160112,HRMS,126,step_sell,0,304.7,0,504.66383752854347
213,20160112,ALSO,126,step_sell,0,27.95,0,504.66383752854347
214,20160112,DAST,126,step_sell,0,70.33,0,504.66383752854347
215,20160112,BNPP,126,sell,0,48.95,60.656784,507.63298710816383
216,20160112,SASY,126,sell,0,74.35,0.0,507.63298710816383
217,20160112,AIR,126,sell,0,59.0,43.450867,510.19658824341775
218,20160112,DANO,126,sell,0,60.27,36.089912,512.3717272646427
219,20160112,SCHN,126,sell,0,49.01,0.0,512.3717272646427
220,20160112,BOUY,126,sell,0,35.84,27.65316,513.3628165224552
221,20160112,MICP,126,step_sell,0,82.84,0,513.3628165224552
222,20160112,PRTP,126,step_sell,0,134.6,0,513.3628165224552
223,20160112,ATOS,126,sell,0,73.31,13.002899,514.3160590606021
224,20160112,LVMH,126,buy,5333.0,139.45,100.0,528.2610590606022
225,20160112,TCFP,126,buy,10070.0,72.47,100.0,535.5080590606021
226,20160112,STM,126,buy,126104.0,5.73,100.0,536.0810590606021
227,20160112,SAF,126,buy,12169.0,59.33,100.0,542.0140590606021
