,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20151231,ALSO,126,step_sell,0,28.16,0,0
1,20151231,BNPP,126,step_sell,0,52.23,0,0
2,20151231,TOTF,126,step_sell,0,41.27,0,0
3,20151231,STM,126,step_sell,0,6.18,0,0
4,20151231,SCHN,126,step_sell,0,52.56,0,0
5,20151231,PEUP,126,step_sell,0,16.2,0,0
6,20151231,DANO,126,step_sell,0,62.28,0,0
7,20151231,SASY,126,step_sell,0,78.6,0,0
8,20151231,VIV,126,step_sell,0,19.86,0,0
9,20151231,ATOS,126,step_sell,0,77.45,0,0
10,20151231,PRTP,126,step_sell,0,146.82,0,0
11,20151231,TCFP,126,step_sell,0,69.1,0,0
12,20151231,LVMH,126,buy,6901.0,144.9,100.0,14.49
13,20151231,MICP,126,buy,11211.0,87.9,100.0,23.28
14,20151231,BOUY,126,buy,26722.0,36.55,100.0,26.935000000000002
15,20151231,DAST,126,buy,13190.0,73.77,100.0,34.312000000000005
16,20151231,SOGN,126,buy,22683.0,42.57,100.0,38.569
17,20151231,ESLX,126,buy,8356.0,115.05,100.0,50.074000000000005
18,20151231,HRMS,126,buy,3046.0,311.75,100.0,81.24900000000001
19,20151231,LEGD,126,buy,17599.0,52.2,100.0,86.46900000000001
20,20151231,PERP,126,buy,8682.0,105.2,100.0,96.989
21,20151231,OREP,126,buy,5813.0,155.3,74.67388,108.5858538017273
22,20151231,VIE,126,buy,40773.0,21.86,74.594986,110.21650019485473
23,20151231,ENGI,126,buy,54514.0,16.32,55.105602,111.1158236238098
24,20151231,TEPR,126,buy,11468.0,77.5,43.891464,114.51741210189819
25,20151231,CAPP,126,buy,10343.0,85.6,40.28818,117.96608042160034
26,20151231,AIR,126,buy,14224.0,62.0,34.82795,120.12541329208373
27,20151231,SAF,126,buy,13882.0,63.37,19.561167,121.36500442987442
28,20151231,AIRP,126,buy,9571.0,91.78,15.991837,122.83273518823623
29,20151231,CAGR,126,buy,80610.0,10.88,15.18898,122.99799129175186
30,20160104,AIRP,126,sell,0,89.3,0.0,122.99799129175186
31,20160104,TOTF,126,step_sell,0,40.52,0,122.99799129175186
32,20160104,STM,126,step_sell,0,6.05,0,122.99799129175186
33,20160104,CAGR,126,sell,0,10.62,0.0,122.99799129175186
34,20160104,SCHN,126,step_sell,0,51.2,0,122.99799129175186
35,20160104,SAF,126,sell,0,62.27,0.0,122.99799129175186
36,20160104,ATOS,126,step_sell,0,75.3,0,122.99799129175186
37,20160104,LVMH,126,sell,0,139.2,45.71942138671875,129.36213474878312
38,20160104,PEUP,126,step_sell,0,15.47,0,129.36213474878312
39,20160104,ENGI,126,sell,0,15.72,19.90430450439453,129.6750304155922
