,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20151231,AIRP,126,step_sell,0,91.78,0,0
1,20151231,ALSO,126,step_sell,0,28.16,0,0
2,20151231,TEPR,126,step_sell,0,77.5,0,0
3,20151231,TCFP,126,step_sell,0,69.1,0,0
4,20151231,STM,126,step_sell,0,6.18,0,0
5,20151231,PEUP,126,step_sell,0,16.2,0,0
6,20151231,DANO,126,step_sell,0,62.28,0,0
7,20151231,DAST,126,step_sell,0,73.77,0,0
8,20151231,OREP,126,step_sell,0,155.3,0,0
9,20151231,ESLX,126,step_sell,0,115.05,0,0
10,20151231,LVMH,126,step_sell,0,144.9,0,0
11,20151231,CAGR,126,step_sell,0,10.88,0,0
12,20151231,AIR,126,step_sell,0,62.0,0,0
13,20151231,SOGN,126,step_sell,0,42.57,0,0
14,20151231,CAPP,126,step_sell,0,85.6,0,0
15,20151231,SASY,126,buy,12722.0,78.6,100.0,7.859999999999999
16,20151231,SCHN,126,buy,18876.0,52.56,100.0,13.116
17,20151231,MICP,126,buy,11227.0,87.9,100.0,21.906
18,20151231,ENGI,126,buy,59930.0,16.32,100.0,23.538
19,20151231,PRTP,126,buy,6650.0,146.82,100.0,38.22
20,20151231,LEGD,126,buy,18424.0,52.2,100.0,43.44
21,20151231,BNPP,126,buy,18313.0,52.23,100.0,48.663
22,20151231,ATOS,126,buy,12282.0,77.45,85.10333,55.254253103637694
23,20151231,PERP,126,buy,8979.0,105.2,63.249443,61.908094512939456
24,20151231,SAF,126,buy,14802.0,63.37,55.614998,65.43241692756654
25,20151231,BOUY,126,buy,25567.0,36.55,44.98954,67.0767846182251
26,20151231,VIV,126,buy,46971.0,19.86,35.220844,67.77627058540345
27,20151231,VIE,126,buy,42642.0,21.86,24.259096,68.30657442714693
28,20151231,HRMS,126,buy,2988.0,311.75,15.912795,73.26738828923227
29,20151231,TOTF,126,buy,22453.0,41.27,2.0693362,73.35278979321244
30,20160104,ESLX,126,step_sell,0,111.8,0,73.35278979321244
31,20160104,TEPR,126,step_sell,0,75.98,0,73.35278979321244
32,20160104,HRMS,126,sell,0,311.15,0.0,73.35278979321244
33,20160104,SASY,126,sell,0,77.57,0.0,73.35278979321244
34,20160104,DANO,126,step_sell,0,60.81,0,73.35278979321244
35,20160104,CAGR,126,step_sell,0,10.62,0,73.35278979321244
36,20160104,PEUP,126,step_sell,0,15.47,0,73.35278979321244
37,20160104,BNPP,126,sell,0,51.22,0.0,73.35278979321244
