,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20160104,ALV_,126,step_sell,0,116.26,0,0
1,20160104,MUV2,126,step_sell,0,141.93,0,0
2,20160104,MTX_,126,step_sell,0,80.21,0,0
3,20160104,LHA_,126,step_sell,0,13.0,0,0
4,20160104,HEN3,126,step_sell,0,87.36,0,0
5,20160104,FRE2,126,step_sell,0,59.5,0,0
6,20160104,FME_,126,step_sell,0,67.47,0,0
7,20160104,SIE_,126,step_sell,0,71.9,0,0
8,20160104,DPW_,126,step_sell,0,20.39,0,0
9,20160104,EOAN,126,step_sell,0,5.94,0,0
10,20160104,BEI_,126,step_sell,0,78.0,0,0
11,20160104,BAY2,126,step_sell,0,94.23,0,0
12,20160104,BAYN,126,step_sell,0,92.23,0,0
13,20160104,BMW_,126,step_sell,0,73.1,0,0
14,20160104,VOW3,126,step_sell,0,110.99,0,0
15,20160104,DAI_,126,step_sell,0,55.67,0,0
16,20160104,BAS_,126,step_sell,0,50.43,0,0
17,20160104,SAP_,126,step_sell,0,64.67,0,0
18,20160104,MRK_,126,step_sell,0,78.85,0,0
19,20160104,IFX_,126,step_sell,0,12.24,0,0
20,20160104,SAP2,126,buy,14777.0,67.67,100.0,6.767
21,20160104,DTE_,126,buy,88601.0,11.21,100.0,7.888
22,20160104,HEI_,126,buy,16202.0,61.23,100.0,14.011
23,20160104,DWNI,126,buy,43685.0,22.57,100.0,16.268
24,20160104,CBK_,126,buy,118235.0,8.32,100.0,17.1
25,20160104,CO_N,126,buy,5585.0,175.96,98.14615,34.369796322021486
26,20160104,DBK_,126,buy,52449.0,18.41,96.71074,36.1502410295105
27,20160104,DB1_,126,buy,13911.0,69.28,53.786926,39.87659928146362
28,20160104,FRE_,126,buy,16697.0,57.5,38.09752,42.06720661941528
29,20160104,RWE_,126,buy,104573.0,9.16,0.62390566,42.07292159524917
30,20160105,ALV_,126,step_sell,0,116.63,0,42.07292159524917
31,20160105,MUV2,126,step_sell,0,141.45,0,42.07292159524917
32,20160105,MRK_,126,step_sell,0,80.2,0,42.07292159524917
33,20160105,LHA_,126,step_sell,0,13.41,0,42.07292159524917
34,20160105,HEN3,126,step_sell,0,87.09,0,42.07292159524917
35,20160105,FRE2,126,step_sell,0,60.1,0,42.07292159524917
36,20160105,SIE_,126,step_sell,0,72.35,0,42.07292159524917
37,20160105,EOAN,126,step_sell,0,6.01,0,42.07292159524917
38,20160105,VOW3,126,step_sell,0,106.6,0,42.07292159524917
39,20160105,BAYN,126,step_sell,0,92.4,0,42.07292159524917
40,20160105,BMW_,126,step_sell,0,72.76,0,42.07292159524917
41,20160105,BAY2,126,step_sell,0,94.4,0,42.07292159524917
42,20160105,SAP_,126,step_sell,0,65.45,0,42.07292159524917
43,20160105,BAS_,126,step_sell,0,50.15,0,42.07292159524917
