,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20160104,INTC,126,step_sell,0,33.99,0,0
1,20160104,MSFT,126,step_sell,0,54.8,0,0
2,20160104,V,126,step_sell,0,75.7,0,0
3,20160104,MCD,126,step_sell,0,117.58,0,0
4,20160104,RTX,126,step_sell,0,95.57,0,0
5,20160104,TRV,126,step_sell,0,109.97,0,0
6,20160104,NKE,126,step_sell,0,61.52,0,0
7,20160104,AAPL,126,step_sell,0,105.35,0,0
8,20160104,AXP,126,step_sell,0,67.59,0,0
9,20160104,WBA,126,step_sell,0,83.05,0,0
10,20160104,IBM,126,step_sell,0,135.95,0,0
11,20160104,CAT,126,step_sell,0,67.99,0,0
12,20160104,BA,126,step_sell,0,140.5,0,0
13,20160104,MMM,126,step_sell,0,146.82,0,0
14,20160104,WMT,126,step_sell,0,61.46,0,0
15,20160104,DD,126,step_sell,0,149.80498049804982,0,0
16,20160104,XOM,126,buy,12909.0,77.46,100.0,7.7459999999999996
17,20160104,PG,126,buy,12661.0,78.37,100.0,15.582999999999998
18,20160104,CSCO,126,buy,37273.0,26.41,100.0,18.223999999999997
19,20160104,DIS,126,buy,9533.0,102.98,100.0,28.522
20,20160104,MRK,126,buy,18510.0,52.48,100.0,33.769999999999996
21,20160104,KO,126,buy,22787.0,42.4,100.0,38.01
22,20160104,JNJ,126,buy,9573.0,100.48,93.75409,47.4304108984375
23,20160104,UNH,126,buy,8178.0,116.46,83.34229,57.13645431625366
24,20160104,HD,126,buy,7193.0,131.07,38.388115,62.1679845400238
25,20160104,VZ,126,buy,20444.0,45.87,14.556439,62.83568841528892
26,20160104,CVX,126,buy,10547.0,88.85,11.910475,63.893934099245065
27,20160104,GS,126,buy,5284.0,177.14,10.362894,65.7296171527195
28,20160104,PFE,126,buy,29239.0,31.95,9.428302,66.03085139558792
29,20160104,JPM,126,buy,14679.0,63.62,8.507758,66.5721149684906
30,20160105,KO,126,sell,0,42.55,0.0,66.5721149684906
31,20160105,PFE,126,sell,0,32.18,0.0,66.5721149684906
32,20160105,MCD,126,step_sell,0,119.2,0,66.5721149684906
33,20160105,JPM,126,sell,0,63.73,0.0,66.5721149684906
34,20160105,DD,126,step_sell,0,148.66486648664866,0,66.5721149684906
35,20160105,XOM,126,sell,0,78.12,0.0,66.5721149684906
36,20160105,BA,126,step_sell,0,141.07,0,66.5721149684906
37,20160105,AXP,126,step_sell,0,66.55,0,66.5721149684906
38,20160105,V,126,step_sell,0,76.27,0,66.5721149684906
39,20160105,MSFT,126,step_sell,0,55.05,0,66.5721149684906
40,20160105,WBA,126,step_sell,0,80.87,0,66.5721149684906
41,20160105,WMT,126,step_sell,0,62.92,0,66.5721149684906
42,20160105,MRK,126,buy,17803.0,53.15,100.0,71.8871149684906
43,20160105,PG,126,buy,11968.0,78.62,100.0,79.74911496849059
44,20160105,DIS,126,buy,9247.0,100.9,100.0,89.83911496849059
45,20160105,IBM,126,buy,6794.0,135.85,100.0,103.42411496849058
46,20160105,INTC,126,buy,26880.0,33.83,100.0,106.80711496849058
47,20160105,JNJ,126,buy,8979.0,100.9,100.0,116.89711496849058
48,20160105,CVX,126,buy,9997.0,89.61,100.0,125.85811496849058
49,20160105,CSCO,126,buy,33735.0,26.29,100.0,128.48711496849057
50,20160105,TRV,126,buy,8004.0,110.47,100.0,139.53411496849057
51,20160105,GS,126,buy,5015.0,174.09,94.72614,156.0249891830444
52,20160105,MMM,126,buy,5809.0,147.46,85.02811,168.56323379547115
53,20160105,AAPL,126,buy,8218.0,102.71,76.28392,176.39835524826046
54,20160105,VZ,126,buy,17985.0,46.5,58.14671,179.1021772373199
55,20160105,RTX,126,buy,8708.0,95.72,53.2748,184.20164103080745
56,20160105,UNH,126,buy,7100.0,116.68,52.57632,190.33624612403867
57,20160105,CAT,126,buy,12223.0,67.28,41.916615,193.1563959497833
58,20160105,NKE,126,buy,13138.0,62.38,16.0546,194.15788188293456
59,20160105,HD,126,buy,6275.0,130.43,11.518675,195.66026264368057
60,20160106,AAPL,126,sell,0,100.7,0.0,195.66026264368057
61,20160106,JPM,126,step_sell,0,62.81,0,195.66026264368057
62,20160106,DD,126,step_sell,0,145.3945394539454,0,195.66026264368057
63,20160106,WBA,126,step_sell,0,79.63,0,195.66026264368057
64,20160106,RTX,126,sell,0,93.12,0.0,195.66026264368057
65,20160106,AXP,126,step_sell,0,64.42,0,195.66026264368057
66,20160106,MMM,126,sell,0,144.49,0.0,195.66026264368057
67,20160106,WMT,126,step_sell,0,63.55,0,195.66026264368057
68,20160106,UNH,126,sell,0,115.49,52.306004,201.70108299604416
69,20160106,PFE,126,step_sell,0,31.61,0,201.70108299604416
70,20160106,MSFT,126,step_sell,0,54.05,0,201.70108299604416
71,20160106,NKE,126,sell,0,61.49,0.0,201.70108299604416
72,20160106,JNJ,126,sell,0,100.39,44.55584,206.17404372732162
73,20160106,INTC,126,sell,0,33.08,27.065681,207.06937646993637
74,20160106,BA,126,step_sell,0,138.83,0,207.06937646993637
75,20160106,MRK,126,buy,16297.0,52.42,100.0,212.31137646993636
76,20160106,CSCO,126,buy,32644.0,26.01,100.0,214.91237646993636
77,20160106,CVX,126,buy,9834.0,86.07,100.0,223.51937646993636
78,20160106,DIS,126,buy,8348.0,100.36,100.0,233.55537646993636
79,20160106,PG,126,buy,10632.0,77.86,100.0,241.34137646993636
80,20160106,HD,126,buy,6352.0,129.08,100.0,254.24937646993635
81,20160106,IBM,126,buy,5971.0,135.17,57.1725,261.97738337743755
82,20160106,V,126,buy,10620.0,75.27,55.494617,266.15446323381417
83,20160106,KO,126,buy,18789.0,42.32,50.638073,268.29746648180003
84,20160106,GS,126,buy,4669.0,169.84,37.29867,274.6322728871345
85,20160106,MCD,126,buy,6644.0,118.4,31.0104,278.3039043385505
86,20160106,TRV,126,buy,7181.0,109.04,24.665966,280.9934812748909
87,20160106,XOM,126,buy,10072.0,77.47,12.25205,281.9426476193619
88,20160106,VZ,126,buy,17121.0,45.52,10.431856,282.41750571155546
89,20160106,CAT,126,buy,11762.0,66.22,9.313512,283.0342464661598
90,20160107,XOM,126,sell,0,76.23,0.0,283.0342464661598
91,20160107,AXP,126,step_sell,0,63.84,0,283.0342464661598
92,20160107,MSFT,126,step_sell,0,52.17,0,283.0342464661598
93,20160107,MMM,126,step_sell,0,140.97,0,283.0342464661598
94,20160107,MCD,126,sell,0,115.66,0.0,283.0342464661598
95,20160107,DD,126,step_sell,0,139.93399339933995,0,283.0342464661598
96,20160107,WMT,126,step_sell,0,65.03,0,283.0342464661598
97,20160107,PFE,126,step_sell,0,31.4,0,283.0342464661598
98,20160107,GS,126,sell,0,164.62,51.163381576538086,291.4567623412895
99,20160107,AAPL,126,step_sell,0,96.45,0,291.4567623412895
100,20160107,TRV,126,sell,0,106.44,53.00759,297.0988903536796
101,20160107,WBA,126,step_sell,0,81.17,0,297.0988903536796
102,20160107,KO,126,sell,0,41.62,1.8711746,297.17676863944524
103,20160107,NKE,126,buy,13425.0,59.85,100.0,303.16176863944526
104,20160107,MRK,126,buy,15348.0,51.96,100.0,308.3577686394453
105,20160107,JNJ,126,buy,7985.0,99.22,100.0,318.2797686394453
106,20160107,VZ,126,buy,17282.0,45.27,100.0,322.8067686394453
107,20160107,CVX,126,buy,9369.0,83.02,100.0,331.1087686394453
108,20160107,CSCO,126,buy,30285.0,25.41,100.0,333.6497686394453
109,20160107,PG,126,buy,9937.0,77.18,100.0,341.36776863944533
110,20160107,HD,126,buy,6054.0,125.4,100.0,353.90776863944535
111,20160107,CAT,126,buy,11678.0,63.94,100.0,360.30176863944536
112,20160107,DIS,126,buy,7440.0,99.5,76.759995,367.93938809287556
113,20160107,BA,126,buy,5508.0,133.01,72.722336,377.6121859796859
114,20160107,UNH,126,buy,6450.0,112.09,56.952633,383.9960066019012
115,20160107,IBM,126,buy,5393.0,132.86,30.46705,388.0438589382888
116,20160107,INTC,126,buy,22379.0,31.84,23.61892,388.79588533111104
117,20160107,RTX,126,buy,7745.0,91.9,14.502605,390.1286747708846
118,20160107,V,126,buy,9628.0,73.79,6.5366745,390.6110159822035
119,20160107,JPM,126,buy,11780.0,60.27,3.162253,390.8016049646664
120,20160108,KO,126,sell,0,41.51,0.0,390.8016049646664
121,20160108,TRV,126,sell,0,105.99,0.0,390.8016049646664
122,20160108,PFE,126,step_sell,0,31.0,0,390.8016049646664
123,20160108,MRK,126,sell,0,51.08,100.0,395.9096049646664
124,20160108,INTC,126,sell,0,31.51,0.0,395.9096049646664
125,20160108,DD,126,step_sell,0,138.85388538853886,0,395.9096049646664
126,20160108,XOM,126,step_sell,0,74.69,0,395.9096049646664
127,20160108,CVX,126,sell,0,82.13,100.0,404.12260496466644
128,20160108,MSFT,126,step_sell,0,52.33,0,404.12260496466644
129,20160108,JPM,126,sell,0,58.92,0.0,404.12260496466644
130,20160108,V,126,sell,0,72.88,2.7868385314941406,404.3257097568417
131,20160108,BA,126,sell,0,129.99,17.02951431274414,406.53937632235534
132,20160108,NKE,126,sell,0,58.87,47.7991828918457,409.3533142191983
133,20160108,WBA,126,step_sell,0,81.05,0,409.3533142191983
134,20160108,VZ,126,sell,0,44.83,40.604412,411.1736100126935
135,20160108,RTX,126,sell,0,90.4,0.0,411.1736100126935
136,20160108,MMM,126,step_sell,0,140.49,0,411.1736100126935
137,20160108,AXP,126,step_sell,0,63.63,0,411.1736100126935
138,20160108,CSCO,126,buy,30415.0,24.78,100.0,413.6516100126935
139,20160108,UNH,126,buy,6819.0,110.16,100.0,424.6676100126935
140,20160108,JNJ,126,buy,7540.0,98.16,100.0,434.4836100126935
141,20160108,PG,126,buy,9613.0,75.97,100.0,442.08061001269346
142,20160108,IBM,126,buy,5490.0,131.63,85.680855,453.3587809296704
143,20160108,GS,126,buy,4339.0,163.94,68.830956,464.6429277752209
144,20160108,AAPL,126,buy,7221.0,96.96,61.82516,470.6374953838635
145,20160108,WMT,126,buy,10924.0,63.54,53.85665,474.0595470078564
146,20160108,CAT,126,buy,10913.0,63.29,28.324524,475.8522061271191
147,20160108,MCD,126,buy,5965.0,115.48,18.803764,478.02366483347896
148,20160108,DIS,126,buy,6919.0,99.25,14.078009,479.4209071921635
149,20160108,HD,126,buy,5531.0,123.9,6.0599895,480.1717398853112
150,20160111,AXP,126,step_sell,0,64.05,0,480.1717398853112
151,20160111,MSFT,126,step_sell,0,52.3,0,480.1717398853112
152,20160111,MCD,126,sell,0,116.69,0.0,480.1717398853112
153,20160111,DD,126,step_sell,0,136.21362136213622,0,480.1717398853112
154,20160111,XOM,126,step_sell,0,73.69,0,480.1717398853112
155,20160111,UNH,126,sell,0,109.58,91.41542,490.1890416672326
156,20160111,TRV,126,step_sell,0,106.79,0,490.1890416672326
157,20160111,RTX,126,step_sell,0,90.5,0,490.1890416672326
158,20160111,CVX,126,sell,0,80.77,67.70257,495.65737808897023
159,20160111,WMT,126,sell,0,64.22,7.449893951416016,496.1358102785302
160,20160111,V,126,sell,0,73.92,0.0,496.1358102785302
161,20160111,JNJ,126,sell,0,97.57,34.441517,499.49626908014307
162,20160111,INTC,126,step_sell,0,32.06,0,499.49626908014307
163,20160111,MMM,126,step_sell,0,140.46,0,499.49626908014307
164,20160111,MRK,126,buy,13830.0,51.25,100.0,504.62126908014307
165,20160111,WBA,126,buy,8685.0,81.02,100.0,512.723269080143
166,20160111,DIS,126,buy,6961.0,99.92,100.0,522.715269080143
167,20160111,GS,126,buy,4136.0,165.73,100.0,539.288269080143
168,20160111,PG,126,buy,8725.0,76.67,100.0,546.955269080143
169,20160111,IBM,126,buy,4963.0,133.23,100.0,560.278269080143
170,20160111,NKE,126,buy,10881.0,59.55,100.0,566.233269080143
171,20160111,JPM,126,buy,10913.0,58.83,100.0,572.1162690801431
172,20160111,AAPL,126,buy,6456.0,98.53,96.63878,581.6380879441263
173,20160111,CAT,126,buy,10193.0,61.47,87.67847,587.0276832981301
174,20160111,CSCO,126,buy,24582.0,25.27,75.28063,588.9300248692514
175,20160111,BA,126,buy,4756.0,130.21,73.73612,598.5312053319742
176,20160111,KO,126,buy,14663.0,41.58,46.633804,600.4702389156535
177,20160111,VZ,126,buy,13478.0,45.09,32.389305,601.9306726832774
178,20160111,HD,126,buy,4820.0,125.78,28.181843,605.4753848711589
179,20160111,PFE,126,buy,19399.0,31.07,14.399179,605.9227673769382
180,20160112,V,126,step_sell,0,74.76,0,605.9227673769382
181,20160112,TRV,126,step_sell,0,107.98,0,605.9227673769382
182,20160112,MCD,126,step_sell,0,117.44,0,605.9227673769382
183,20160112,DD,126,step_sell,0,134.3834383438344,0,605.9227673769382
184,20160112,WMT,126,sell,0,63.62,0.0,605.9227673769382
185,20160112,JPM,126,sell,0,58.96,0.0,605.9227673769382
186,20160112,IBM,126,sell,0,132.9,100.0,619.2127673769381
187,20160112,XOM,126,step_sell,0,75.2,0,619.2127673769381
188,20160112,JNJ,126,sell,0,98.24,89.01998,627.9580903481295
189,20160112,AXP,126,step_sell,0,64.4,0,627.9580903481295
190,20160112,VZ,126,sell,0,44.93,52.46065,630.3151474154284
191,20160112,INTC,126,step_sell,0,32.68,0,630.3151474154284
192,20160112,KO,126,sell,0,42.12,20.379043579101562,631.1735127309802
193,20160112,CAT,126,sell,0,61.6,11.751437,631.8974012617114
194,20160112,HD,126,sell,0,127.49,2.9768972,632.2769258907988
195,20160112,PG,126,buy,8302.0,76.51,100.0,639.9279258907987
196,20160112,CSCO,126,buy,24756.0,25.35,100.0,642.4629258907987
197,20160112,DIS,126,buy,6160.0,101.46,100.0,652.6089258907987
198,20160112,CVX,126,buy,7484.0,82.15,100.0,660.8239258907987
199,20160112,MRK,126,buy,11720.0,51.76,100.0,665.9999258907987
200,20160112,GS,126,buy,3629.0,165.71,100.0,682.5709258907988
201,20160112,WBA,126,buy,7148.0,81.82,100.0,690.7529258907988
202,20160112,BA,126,buy,4371.0,131.92,97.1981,703.575298877249
203,20160112,AAPL,126,buy,5640.0,99.96,85.00791,712.0726897289946
204,20160112,NKE,126,buy,9265.0,59.94,62.191452,715.8004453634551
205,20160112,PFE,126,buy,17794.0,31.0,41.22632,717.0784612325957
206,20160112,MSFT,126,buy,10427.0,52.78,26.111448,718.4566234732345
207,20160112,RTX,126,buy,6065.0,90.5,11.664274,719.5122402897551
208,20160112,UNH,126,buy,4880.0,112.26,11.0637665,720.754258714743
209,20160112,MMM,126,buy,3880.0,140.86,8.501792,721.9518211293891
210,20160113,XOM,126,step_sell,0,75.65,0,721.9518211293891
211,20160113,AXP,126,step_sell,0,62.85,0,721.9518211293891
212,20160113,JPM,126,step_sell,0,57.34,0,721.9518211293891
213,20160113,VZ,126,sell,0,44.15,22.45924663543701,722.9433968683437
214,20160113,INTC,126,step_sell,0,31.91,0,722.9433968683437
215,20160113,BA,126,sell,0,128.12,87.99853897094727,734.2177696813014
