,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20160104,ALV_,126,step_sell,0,116.26,0,0
1,20160104,RWE_,126,step_sell,0,9.16,0,0
2,20160104,MTX_,126,step_sell,0,80.21,0,0
3,20160104,FRE_,126,step_sell,0,57.5,0,0
4,20160104,DWNI,126,step_sell,0,22.57,0,0
5,20160104,DAI_,126,step_sell,0,55.67,0,0
6,20160104,CO_N,126,step_sell,0,175.96,0,0
7,20160104,VOW3,126,step_sell,0,110.99,0,0
8,20160104,CBK_,126,step_sell,0,8.32,0,0
9,20160104,SAP_,126,step_sell,0,64.67,0,0
10,20160104,DBK_,126,step_sell,0,18.41,0,0
11,20160104,BAYN,126,step_sell,0,92.23,0,0
12,20160104,BEI_,126,step_sell,0,78.0,0,0
13,20160104,EOAN,126,step_sell,0,5.94,0,0
14,20160104,BAY2,126,step_sell,0,94.23,0,0
15,20160104,FRE2,126,step_sell,0,59.5,0,0
16,20160104,HEN3,126,buy,11446.0,87.36,100.0,8.736
17,20160104,DPW_,126,buy,48614.0,20.39,100.0,10.775
18,20160104,SIE_,126,buy,13758.0,71.9,100.0,17.965000000000003
19,20160104,FME_,126,buy,14554.0,67.47,100.0,24.712000000000003
20,20160104,BMW_,126,buy,13341.0,73.1,96.38794,31.75795837402344
21,20160104,MRK_,126,buy,12279.0,78.85,87.01988,38.61947608566284
22,20160104,BAS_,126,buy,19062.0,50.43,79.54674,42.63101806640625
23,20160104,LHA_,126,buy,73640.0,13.0,77.21948,43.63487133789062
24,20160104,DTE_,126,buy,85309.0,11.21,65.9568,44.37424709243774
25,20160104,SAP2,126,buy,14121.0,67.67,54.010075,48.029108841667174
26,20160104,HEI_,126,buy,15546.0,61.23,33.739597,50.09498438560486
27,20160104,IFX_,126,buy,77602.0,12.24,26.056969,50.41392168235779
28,20160104,MUV2,126,buy,6690.0,141.93,24.817266,53.93623631162644
29,20160104,DB1_,126,buy,13654.0,69.28,13.584911,54.87739896970749
30,20160105,ALV_,126,step_sell,0,116.63,0,54.87739896970749
31,20160105,IFX_,126,sell,0,12.1,0.0,54.87739896970749
32,20160105,DTE_,126,sell,0,11.17,0.0,54.87739896970749
33,20160105,MUV2,126,sell,0,141.45,0.0,54.87739896970749
34,20160105,DPW_,126,sell,0,20.39,0.0,54.87739896970749
35,20160105,MTX_,126,step_sell,0,80.46,0,54.87739896970749
36,20160105,SAP_,126,step_sell,0,65.45,0,54.87739896970749
37,20160105,FRE_,126,step_sell,0,58.1,0,54.87739896970749
38,20160105,FME_,126,sell,0,71.43,34.11540222167969,57.31426215040207
39,20160105,DWNI,126,step_sell,0,22.41,0,57.31426215040207
40,20160105,DBK_,126,step_sell,0,18.7,0,57.31426215040207
41,20160105,LHA_,126,sell,0,13.41,32.84056854248047,57.754654174556734
42,20160105,BAY2,126,step_sell,0,94.4,0,57.754654174556734
43,20160105,RWE_,126,step_sell,0,9.35,0,57.754654174556734
44,20160105,CO_N,126,step_sell,0,177.07,0,57.754654174556734
45,20160105,DAI_,126,step_sell,0,55.67,0,57.754654174556734
46,20160105,VOW3,126,buy,8977.0,106.6,100.0,68.41465417455673
47,20160105,DB1_,126,buy,13700.0,69.07,100.0,75.32165417455673
48,20160105,BAS_,126,buy,18731.0,50.15,100.0,80.33665417455673
49,20160105,BMW_,126,buy,12841.0,72.76,100.0,87.61265417455672
50,20160105,SAP2,126,buy,13543.0,68.45,98.24165,94.33729535268783
51,20160105,EOAN,126,buy,153134.0,6.01,93.99248,94.90219014196396
52,20160105,CBK_,126,buy,110417.0,8.33,65.99276,95.4519098303032
53,20160105,HEI_,126,buy,15071.0,60.99,51.426113,98.58838847002029
54,20160105,BAYN,126,buy,9914.0,92.4,41.35794,102.409862188282
55,20160105,FRE2,126,buy,15179.0,60.1,37.5269,104.66522895311356
56,20160105,MRK_,126,buy,11346.0,80.2,31.288301,107.17455073083877
57,20160105,HEN3,126,buy,10420.0,87.09,26.843145,109.51232026115417
58,20160105,BEI_,126,buy,11479.0,78.85,15.678932,110.74860406433105
59,20160105,SIE_,126,buy,12493.0,72.35,13.147822,111.69984901352882
60,20160106,ALV_,126,step_sell,0,117.0,0,111.69984901352882
61,20160106,SAP_,126,step_sell,0,66.02,0,111.69984901352882
62,20160106,RWE_,126,step_sell,0,9.4,0,111.69984901352882
63,20160106,BAYN,126,sell,0,91.07,0.0,111.69984901352882
64,20160106,MTX_,126,step_sell,0,79.67,0,111.69984901352882
65,20160106,MRK_,126,sell,0,79.08,18.308183670043945,113.14766017815589
