,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20151231,LVMH,126,step_sell,0,144.9,0,0
1,20151231,TCFP,126,step_sell,0,69.1,0,0
2,20151231,MICP,126,step_sell,0,87.9,0,0
3,20151231,HRMS,126,step_sell,0,311.75,0,0
4,20151231,ENGI,126,step_sell,0,16.32,0,0
5,20151231,CAGR,126,step_sell,0,10.88,0,0
6,20151231,VIV,126,step_sell,0,19.86,0,0
7,20151231,TOTF,126,step_sell,0,41.27,0,0
8,20151231,ATOS,126,step_sell,0,77.45,0,0
9,20151231,SOGN,126,step_sell,0,42.57,0,0
10,20151231,SCHN,126,step_sell,0,52.56,0,0
11,20151231,AIRP,126,step_sell,0,91.78,0,0
12,20151231,PERP,126,step_sell,0,105.2,0,0
13,20151231,PRTP,126,step_sell,0,146.82,0,0
14,20151231,SAF,126,step_sell,0,63.37,0,0
15,20151231,CAPP,126,buy,11682.0,85.6,100.0,8.56
16,20151231,BOUY,126,buy,27125.0,36.55,100.0,12.215
17,20151231,DAST,126,buy,13389.0,73.77,100.0,19.592
18,20151231,LEGD,126,buy,18781.0,52.2,100.0,24.811999999999998
19,20151231,ALSO,126,buy,34629.0,28.16,100.0,27.627999999999997
20,20151231,TEPR,126,buy,12546.0,77.5,97.566086,35.1893716506958
21,20151231,PEUP,126,buy,59554.0,16.2,93.42374,36.7028361831665
22,20151231,DANO,126,buy,15466.0,62.28,87.66134,42.16238436401366
23,20151231,AIR,126,buy,15448.0,62.0,85.820435,47.48325130737304
24,20151231,STM,126,buy,154121.0,6.18,54.46827,47.819865211944574
25,20151231,ESLX,126,buy,8275.0,115.05,45.96716,53.10838688610076
26,20151231,VIE,126,buy,43313.0,21.86,42.501095,54.03746081882476
27,20151231,SASY,126,buy,12034.0,78.6,30.406418,56.42740526157379
28,20151231,OREP,126,buy,6075.0,155.3,24.808317,60.280136920318604
29,20151231,BNPP,126,buy,17990.0,52.23,24.653736,61.56780155757904
30,20160104,LVMH,126,step_sell,0,139.2,0,61.56780155757904
31,20160104,PRTP,126,step_sell,0,141.11,0,61.56780155757904
32,20160104,OREP,126,sell,0,150.9,0.0,61.56780155757904
33,20160104,CAGR,126,step_sell,0,10.62,0,61.56780155757904
34,20160104,HRMS,126,step_sell,0,311.15,0,61.56780155757904
35,20160104,SAF,126,step_sell,0,62.27,0,61.56780155757904
36,20160104,VIE,126,sell,0,21.56,0.0,61.56780155757904
37,20160104,ENGI,126,step_sell,0,15.72,0,61.56780155757904
38,20160104,ALSO,126,sell,0,27.69,49.10676574707031,62.92756790111542
39,20160104,AIRP,126,step_sell,0,89.3,0,62.92756790111542
40,20160104,SASY,126,sell,0,77.57,0.0,62.92756790111542
41,20160104,SCHN,126,step_sell,0,51.2,0,62.92756790111542
42,20160104,SOGN,126,step_sell,0,41.4,0,62.92756790111542
43,20160104,ESLX,126,sell,0,111.8,9.980148315429688,64.04334848278046
44,20160104,MICP,126,step_sell,0,85.59,0,64.04334848278046
45,20160104,VIV,126,buy,49572.0,19.18,100.0,65.96134848278047
46,20160104,LEGD,126,buy,18605.0,51.0,100.0,71.06134848278046
47,20160104,BNPP,126,buy,18426.0,51.22,100.0,76.18334848278046
48,20160104,BOUY,126,buy,25259.0,37.16,100.0,79.89934848278045
49,20160104,AIR,126,buy,15362.0,60.86,100.0,85.98534848278045
50,20160104,TEPR,126,buy,12224.0,75.98,100.0,93.58334848278045
51,20160104,DAST,126,buy,12877.0,71.54,73.79231,98.86245052776336
52,20160104,DANO,126,buy,15062.0,60.81,67.692055,102.97880437702177
53,20160104,PEUP,126,buy,58942.0,15.47,56.7439,103.85663251464842
54,20160104,TOTF,126,buy,22481.0,40.52,41.071594,105.52085351318358
