,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20160104,KO,126,step_sell,0,42.4,0,0
1,20160104,NKE,126,step_sell,0,61.52,0,0
2,20160104,VZ,126,step_sell,0,45.87,0,0
3,20160104,RTX,126,step_sell,0,95.57,0,0
4,20160104,WMT,126,step_sell,0,61.46,0,0
5,20160104,MRK,126,step_sell,0,52.48,0,0
6,20160104,INTC,126,step_sell,0,33.99,0,0
7,20160104,BA,126,step_sell,0,140.5,0,0
8,20160104,XOM,126,buy,12909.0,77.46,100.0,7.7459999999999996
9,20160104,TRV,126,buy,9022.0,109.97,100.0,18.743
10,20160104,JNJ,126,buy,9765.0,100.48,100.0,28.790999999999997
11,20160104,MCD,126,buy,8259.0,117.58,100.0,40.549
12,20160104,GS,126,buy,5416.0,177.14,100.0,58.263
13,20160104,CSCO,126,buy,35656.0,26.41,100.0,60.903999999999996
14,20160104,AXP,126,buy,13893.0,67.59,100.0,67.663
15,20160104,HD,126,buy,7112.0,131.07,99.80464,80.74439439071655
16,20160104,PG,126,buy,11728.0,78.37,93.62873,88.08207802146912
17,20160104,CVX,126,buy,10262.0,88.85,87.69584,95.8738533102417
18,20160104,CAT,126,buy,13296.0,67.99,78.187355,101.18981157951355
19,20160104,V,126,buy,11871.0,75.7,75.54398,106.90849112739562
20,20160104,MSFT,126,buy,16295.0,54.8,63.08724,110.36567178688048
21,20160104,UNH,126,buy,7638.0,116.46,60.590935,117.42209204826354
22,20160104,PFE,126,buy,27620.0,31.95,58.736504,119.29872333831786
23,20160104,WBA,126,buy,10603.0,83.05,57.239723,124.05248235054015
24,20160104,IBM,126,buy,6442.0,135.95,37.798058,129.19112827529906
25,20160104,MMM,126,buy,5930.0,146.82,27.410067,133.21547425418854
26,20160104,DD,126,buy,5785.0,149.80498049804982,22.307962,136.55731812910872
27,20160104,DIS,126,buy,8383.0,102.98,17.572126,138.36689570460157
28,20160104,JPM,126,buy,13541.0,63.62,12.873692,139.18591996157485
29,20160104,AAPL,126,buy,8169.0,105.35,0.413543,139.22948671514112
30,20160105,UNH,126,sell,0,116.68,0.0,139.22948671514112
31,20160105,TRV,126,sell,0,110.47,0.0,139.22948671514112
32,20160105,PFE,126,sell,0,32.18,0.0,139.22948671514112
33,20160105,INTC,126,step_sell,0,33.83,0,139.22948671514112
34,20160105,JNJ,126,sell,0,100.9,0.0,139.22948671514112
35,20160105,MMM,126,sell,0,147.46,0.0,139.22948671514112
36,20160105,AXP,126,sell,0,66.55,21.012351989746094,140.6278587400587
37,20160105,CSCO,126,sell,0,26.29,30.325302124023438,141.4251109328993
38,20160105,NKE,126,step_sell,0,62.38,0,141.4251109328993
39,20160105,JPM,126,sell,0,63.73,0.0,141.4251109328993
40,20160105,DIS,126,sell,0,100.9,0.0,141.4251109328993
41,20160105,BA,126,step_sell,0,141.07,0,141.4251109328993
42,20160105,MRK,126,step_sell,0,53.15,0,141.4251109328993
43,20160105,XOM,126,sell,0,78.12,3.1648412,141.67234832549647
44,20160105,V,126,buy,11861.0,76.27,100.0,149.29934832549648
45,20160105,DD,126,buy,6033.0,148.66486648664866,100.0,164.16583497416136
46,20160105,HD,126,buy,6763.0,130.43,100.0,177.20883497416136
47,20160105,IBM,126,buy,6397.0,135.85,100.0,190.79383497416137
48,20160105,MCD,126,buy,7176.0,119.2,100.0,202.71383497416136
49,20160105,RTX,126,buy,8812.0,95.72,70.46416,209.45866409220335
50,20160105,WMT,126,buy,13299.0,62.92,67.230194,213.68878790445922
51,20160105,KO,126,buy,19566.0,42.55,64.53688,216.43483216944335
52,20160105,VZ,126,buy,17845.0,46.5,59.591454,219.2058347596228
53,20160105,PG,126,buy,10519.0,78.62,59.156574,223.85672462710022
54,20160105,CAT,126,buy,12223.0,67.28,50.691734,227.26726451174378
55,20160105,GS,126,buy,4704.0,174.09,40.274986,234.27873687098145
56,20160105,CVX,126,buy,9060.0,89.61,32.99022,237.23499040598512
57,20160105,MSFT,126,buy,14695.0,55.05,32.07974,239.00098001684785
58,20160105,WBA,126,buy,9981.0,80.87,22.612158,240.82962521988512
59,20160105,AAPL,126,buy,7841.0,102.71,4.322672,241.2736068497336
60,20160106,AAPL,126,sell,0,100.7,0.0,241.2736068497336
61,20160106,NKE,126,step_sell,0,61.49,0,241.2736068497336
62,20160106,INTC,126,step_sell,0,33.08,0,241.2736068497336
63,20160106,DIS,126,step_sell,0,100.36,0,241.2736068497336
64,20160106,UNH,126,step_sell,0,115.49,0,241.2736068497336
65,20160106,DD,126,sell,0,145.3945394539454,22.30796241760254,244.51706277159684
66,20160106,CSCO,126,sell,0,26.01,0.0,244.51706277159684
67,20160106,GS,126,sell,0,169.84,51.072548,253.19122430907242
68,20160106,IBM,126,sell,0,135.17,26.136993,256.7241617080592
69,20160106,BA,126,step_sell,0,138.83,0,256.7241617080592
70,20160106,RTX,126,sell,0,93.12,12.239009,257.86385821715345
71,20160106,WBA,126,sell,0,79.63,10.081142,258.666619588499
72,20160106,MRK,126,step_sell,0,52.42,0,258.666619588499
73,20160106,MMM,126,buy,5778.0,144.49,100.0,273.115619588499
74,20160106,AXP,126,buy,12735.0,64.42,100.0,279.557619588499
75,20160106,CAT,126,buy,12291.0,66.22,100.0,286.179619588499
76,20160106,CVX,126,buy,9380.0,86.07,100.0,294.786619588499
77,20160106,TRV,126,buy,7325.0,109.04,100.0,305.690619588499
78,20160106,PFE,126,buy,24922.0,31.61,100.0,308.851619588499
79,20160106,JPM,126,buy,12492.0,62.81,100.0,315.132619588499
80,20160106,JNJ,126,buy,7753.0,100.39,97.09593,324.8800802026652
81,20160106,V,126,buy,10211.0,75.27,89.688255,331.63091517985333
82,20160106,WMT,126,buy,11988.0,63.55,89.615974,337.32601035464273
83,20160106,XOM,126,buy,9760.0,77.47,87.214294,344.08250174441326
84,20160106,PG,126,buy,9624.0,77.86,65.68839,349.19699999529826
85,20160106,KO,126,buy,17586.0,42.32,60.007263,351.73650737322794
86,20160106,MCD,126,buy,6264.0,118.4,50.351395,357.6981125001811
87,20160106,VZ,126,buy,16163.0,45.52,22.486664,358.7217054371928
88,20160106,HD,126,buy,5692.0,129.08,14.608127,360.60732242392527
