,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20160104,HEN3,126,step_sell,0,87.36,0,0
1,20160104,FRE_,126,step_sell,0,57.5,0,0
2,20160104,DWNI,126,step_sell,0,22.57,0,0
3,20160104,CO_N,126,step_sell,0,175.96,0,0
4,20160104,DAI_,126,step_sell,0,55.67,0,0
5,20160104,DBK_,126,step_sell,0,18.41,0,0
6,20160104,DTE_,126,step_sell,0,11.21,0,0
7,20160104,ALV_,126,step_sell,0,116.26,0,0
8,20160104,MUV2,126,step_sell,0,141.93,0,0
9,20160104,DB1_,126,step_sell,0,69.28,0,0
10,20160104,MTX_,126,step_sell,0,80.21,0,0
11,20160104,EOAN,126,step_sell,0,5.94,0,0
12,20160104,SIE_,126,step_sell,0,71.9,0,0
13,20160104,DPW_,126,step_sell,0,20.39,0,0
14,20160104,SAP_,126,step_sell,0,64.67,0,0
15,20160104,VOW3,126,buy,9009.0,110.99,100.0,11.099
16,20160104,BAS_,126,buy,19609.0,50.43,100.0,16.142
17,20160104,BAYN,126,buy,10667.0,92.23,100.0,25.365000000000002
18,20160104,IFX_,126,buy,79624.0,12.24,100.0,26.589000000000002
19,20160104,RWE_,126,buy,106264.0,9.16,95.025375,27.459432438354494
20,20160104,BMW_,126,buy,13303.0,73.1,82.726166,33.50671515625
21,20160104,FME_,126,buy,14324.0,67.47,81.06789,38.976365448455816
22,20160104,FRE2,126,buy,16151.0,59.5,72.593155,43.295658165435796
23,20160104,CBK_,126,buy,114983.0,8.32,68.153366,43.86269417129517
24,20160104,SAP2,126,buy,14128.0,67.67,67.47834,48.42895344917298
25,20160104,LHA_,126,buy,73194.0,13.0,51.06575,49.09280820075989
26,20160104,HEI_,126,buy,15529.0,61.23,46.211666,51.92234851650238
27,20160104,BAY2,126,buy,10060.0,94.23,44.346012,56.101073238143925
28,20160104,BEI_,126,buy,12100.0,78.0,32.48912,58.635224635849006
29,20160104,MRK_,126,buy,11937.0,78.85,9.059273,59.34954829345704
30,20160105,EOAN,126,step_sell,0,6.01,0,59.34954829345704
31,20160105,BAS_,126,sell,0,50.15,0.0,59.34954829345704
32,20160105,MUV2,126,step_sell,0,141.45,0,59.34954829345704
33,20160105,SIE_,126,step_sell,0,72.35,0,59.34954829345704
34,20160105,BMW_,126,sell,0,72.76,0.0,59.34954829345704
35,20160105,MRK_,126,sell,0,80.2,0.0,59.34954829345704
36,20160105,DWNI,126,step_sell,0,22.41,0,59.34954829345704
37,20160105,FRE_,126,step_sell,0,58.1,0,59.34954829345704
38,20160105,DTE_,126,step_sell,0,11.17,0,59.34954829345704
39,20160105,BEI_,126,sell,0,78.85,0.0,59.34954829345704
40,20160105,DBK_,126,step_sell,0,18.7,0,59.34954829345704
41,20160105,LHA_,126,sell,0,13.41,14.304447174072266,59.54137093006135
42,20160105,HEN3,126,step_sell,0,87.09,0,59.54137093006135
43,20160105,FRE2,126,sell,0,60.1,18.444622,60.64989271465302
44,20160105,BAYN,126,sell,0,92.4,4.5689225,61.07206115547181
45,20160105,SAP_,126,buy,14620.0,65.45,100.0,67.6170611554718
46,20160105,SAP2,126,buy,13884.0,68.45,100.0,74.4620611554718
47,20160105,RWE_,126,buy,100910.0,9.35,100.0,75.3970611554718
48,20160105,BAY2,126,buy,9984.0,94.4,100.0,84.8370611554718
49,20160105,MTX_,126,buy,11597.0,80.46,100.0,92.88306115547181
50,20160105,CBK_,126,buy,111053.0,8.33,100.0,93.7160611554718
51,20160105,IFX_,126,buy,76383.0,12.1,100.0,94.9260611554718
52,20160105,DB1_,126,buy,13363.0,69.07,100.0,101.8330611554718
53,20160105,HEI_,126,buy,15020.0,60.99,100.0,107.9320611554718
54,20160105,ALV_,126,buy,7802.0,116.63,70.72371,116.18056734855652
55,20160105,CO_N,126,buy,5092.0,177.07,48.256386,124.72532558273316
56,20160105,DPW_,126,buy,43805.0,20.39,24.57155,125.22633949476243
57,20160105,VOW3,126,buy,8374.0,106.6,14.870399,126.81152407880784
58,20160105,DAI_,126,buy,16007.0,55.67,11.383284,127.44523147766114
59,20160105,FME_,126,buy,12466.0,71.43,2.7129784,127.63901952213288
60,20160106,ALV_,126,sell,0,117.0,0.0,127.63901952213288
61,20160106,BEI_,126,step_sell,0,78.34,0,127.63901952213288
62,20160106,BMW_,126,step_sell,0,70.35,0,127.63901952213288
63,20160106,CBK_,126,sell,0,8.16,68.15336608886719,128.19515098941804
64,20160106,SIE_,126,step_sell,0,72.07,0,128.19515098941804
65,20160106,DAI_,126,sell,0,54.25,0.0,128.19515098941804
66,20160106,DPW_,126,sell,0,20.28,0.0,128.19515098941804
67,20160106,MRK_,126,step_sell,0,79.08,0,128.19515098941804
68,20160106,DBK_,126,step_sell,0,18.55,0,128.19515098941804
69,20160106,IFX_,126,sell,0,11.72,61.525787,128.91623321720124
70,20160106,FRE2,126,sell,0,58.87,17.86728286743164,129.96808015960693
71,20160106,EOAN,126,step_sell,0,5.98,0,129.96808015960693
72,20160106,BAS_,126,step_sell,0,49.31,0,129.96808015960693
73,20160106,MTX_,126,sell,0,79.67,2.8246522,130.19312019998074
74,20160106,LHA_,126,buy,66340.0,13.62,100.0,131.55512019998073
75,20160106,SAP_,126,buy,13665.0,66.02,100.0,138.15712019998074
76,20160106,RWE_,126,buy,95275.0,9.4,100.0,139.09712019998074
77,20160106,FRE_,126,buy,15459.0,57.87,100.0,144.88412019998074
78,20160106,HEN3,126,buy,10258.0,86.65,100.0,153.54912019998073
79,20160106,BAY2,126,buy,9356.0,94.07,89.55337,161.9734054914999
80,20160106,FME_,126,buy,12089.0,72.11,71.02072,167.0947097142172
81,20160106,DTE_,126,buy,77101.0,11.24,58.931053,167.7570947517538
82,20160106,DB1_,126,buy,12695.0,68.21,53.13803,171.3816398466635
83,20160106,SAP2,126,buy,12493.0,69.02,36.599457,173.90773435410978
84,20160106,VOW3,126,buy,8235.0,104.4,36.469624,177.71516305436612
85,20160106,MUV2,126,buy,6034.0,141.85,28.37252,181.73980507974147
86,20160106,BAYN,126,buy,9355.0,91.07,27.019855,184.20050332005977
87,20160106,DWNI,126,buy,38265.0,22.2,15.754184,184.5502461997366
88,20160106,CO_N,126,buy,4952.0,171.47,11.620636,186.54283665231227
89,20160106,HEI_,126,buy,14152.0,59.86,0.6747052,186.58322450602412
90,20160107,IFX_,126,sell,0,11.43,38.474212646484375,187.02298475657344
91,20160107,BEI_,126,step_sell,0,76.43,0,187.02298475657344
92,20160107,HEN3,126,sell,0,84.73,0.0,187.02298475657344
93,20160107,DB1_,126,sell,0,66.58,53.138031005859375,190.56091486094354
94,20160107,FRE2,126,sell,0,58.22,0.0,190.56091486094354
95,20160107,DPW_,126,step_sell,0,19.67,0,190.56091486094354
96,20160107,DTE_,126,sell,0,11.17,0.0,190.56091486094354
97,20160107,FRE_,126,sell,0,56.22,0.17124176025390625,190.57054207270502
98,20160107,ALV_,126,step_sell,0,114.58,0,190.57054207270502
99,20160107,FME_,126,sell,0,70.59,49.40525,194.05805870898126
100,20160107,DAI_,126,step_sell,0,52.17,0,194.05805870898126
101,20160107,CO_N,126,sell,0,167.3,17.45006,196.97745372870324
102,20160107,SIE_,126,step_sell,0,70.69,0,196.97745372870324
103,20160107,BAS_,126,buy,18230.0,48.11,100.0,201.78845372870325
104,20160107,SAP2,126,buy,12757.0,68.37,100.0,208.62545372870323
105,20160107,BAY2,126,buy,9643.0,89.74,100.0,217.59945372870322
106,20160107,MTX_,126,buy,10989.0,77.93,100.0,225.39245372870323
107,20160107,LHA_,126,buy,62955.0,13.48,100.0,226.74045372870324
108,20160107,HEI_,126,buy,14466.0,58.57,100.0,232.59745372870324
109,20160107,CBK_,126,buy,106509.0,7.9,100.0,233.38745372870324
110,20160107,DBK_,126,buy,46315.0,18.15,91.95156,235.05637456038355
111,20160107,BAYN,126,buy,9454.0,88.74,80.6789,242.21582029478907
112,20160107,EOAN,126,buy,143165.0,5.81,71.95344,242.63386976843714
113,20160107,MRK_,126,buy,10860.0,76.55,58.75666,247.13169212675928
114,20160107,BMW_,126,buy,12211.0,67.71,29.083675,249.10094778704521
115,20160107,RWE_,126,buy,90251.0,9.14,23.291052,249.31382800108787
116,20160107,DWNI,126,buy,38268.0,21.55,19.16783,249.72689472710488
117,20160107,VOW3,126,buy,8162.0,100.98,14.768473,251.21821509747383
118,20160107,MUV2,126,buy,5909.0,139.22,14.713555,253.26663627135156
119,20160107,SAP_,126,buy,12555.0,65.37,11.562008,254.0224447280395
120,20160108,ALV_,126,step_sell,0,113.13,0,254.0224447280395
121,20160108,BAS_,126,sell,0,47.52,0.0,254.0224447280395
122,20160108,MUV2,126,sell,0,137.7,0.0,254.0224447280395
123,20160108,MTX_,126,sell,0,77.13,97.1753478050232,261.51757930424094
124,20160108,BEI_,126,step_sell,0,76.23,0,261.51757930424094
125,20160108,HEI_,126,sell,0,57.25,100.0,267.24257930424096
126,20160108,FRE2,126,step_sell,0,58.94,0,267.24257930424096
127,20160108,DB1_,126,sell,0,66.05,0.0,267.24257930424096
128,20160108,DPW_,126,step_sell,0,19.45,0,267.24257930424096
129,20160108,SIE_,126,step_sell,0,70.2,0,267.24257930424096
130,20160108,DBK_,126,sell,0,17.56,6.428215026855469,267.3554587601125
131,20160108,HEN3,126,step_sell,0,84.11,0,267.3554587601125
132,20160108,FRE_,126,sell,0,55.94,0.0,267.3554587601125
133,20160108,EOAN,126,sell,0,5.71,29.33861541748047,267.5229822541463
134,20160108,DTE_,126,step_sell,0,11.01,0,267.5229822541463
135,20160108,SAP2,126,buy,12471.0,68.1,100.0,274.3329822541463
