,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20160104,SAP2,126,step_sell,0,67.67,0,0
1,20160104,MRK_,126,step_sell,0,78.85,0,0
2,20160104,BMW_,126,step_sell,0,73.1,0,0
3,20160104,FRE2,126,step_sell,0,59.5,0,0
4,20160104,VOW3,126,step_sell,0,110.99,0,0
5,20160104,BAS_,126,step_sell,0,50.43,0,0
6,20160104,IFX_,126,step_sell,0,12.24,0,0
7,20160104,CO_N,126,step_sell,0,175.96,0,0
8,20160104,DWNI,126,step_sell,0,22.57,0,0
9,20160104,EOAN,126,step_sell,0,5.94,0,0
10,20160104,SIE_,126,step_sell,0,71.9,0,0
11,20160104,BEI_,126,step_sell,0,78.0,0,0
12,20160104,HEI_,126,step_sell,0,61.23,0,0
13,20160104,DTE_,126,step_sell,0,11.21,0,0
14,20160104,DB1_,126,step_sell,0,69.28,0,0
15,20160104,FME_,126,step_sell,0,67.47,0,0
16,20160104,BAY2,126,step_sell,0,94.23,0,0
17,20160104,MUV2,126,step_sell,0,141.93,0,0
18,20160104,DPW_,126,step_sell,0,20.39,0,0
19,20160104,ALV_,126,buy,8601.0,116.26,100.0,11.626
20,20160104,MTX_,126,buy,12322.0,80.21,100.0,19.647
21,20160104,DAI_,126,buy,17609.0,55.67,100.0,25.214
22,20160104,FRE_,126,buy,16952.0,57.5,88.792076,30.31954437637329
23,20160104,RWE_,126,buy,105857.0,9.16,83.71347,31.086359765777587
24,20160104,DBK_,126,buy,52628.0,18.41,69.23315,32.360941995925906
25,20160104,BAYN,126,buy,10491.0,92.23,58.467655,37.75341383335114
26,20160104,HEN3,126,buy,11014.0,87.36,56.607742,42.6986662015152
27,20160104,SAP_,126,buy,14802.0,64.67,38.23834,45.171539550399785
28,20160104,LHA_,126,buy,73444.0,13.0,38.16867,45.667732268905645
29,20160104,CBK_,126,buy,114697.0,8.32,10.561061,45.75560029563904
30,20160105,BAY2,126,step_sell,0,94.4,0,45.75560029563904
31,20160105,FRE_,126,sell,0,58.1,0.0,45.75560029563904
32,20160105,DPW_,126,step_sell,0,20.39,0,45.75560029563904
33,20160105,CO_N,126,step_sell,0,177.07,0,45.75560029563904
34,20160105,CBK_,126,sell,0,8.33,0.0,45.75560029563904
35,20160105,EOAN,126,step_sell,0,6.01,0,45.75560029563904
36,20160105,SAP2,126,step_sell,0,68.45,0,45.75560029563904
37,20160105,VOW3,126,step_sell,0,106.6,0,45.75560029563904
38,20160105,MRK_,126,step_sell,0,80.2,0,45.75560029563904
39,20160105,DTE_,126,step_sell,0,11.17,0,45.75560029563904
40,20160105,BEI_,126,step_sell,0,78.85,0,45.75560029563904
41,20160105,RWE_,126,sell,0,9.35,41.191887,46.14074443817139
42,20160105,DAI_,126,sell,0,55.67,37.12208,48.20733072956085
43,20160105,LHA_,126,sell,0,13.41,11.228873,48.35790991988182
44,20160105,DB1_,126,step_sell,0,69.07,0,48.35790991988182
45,20160105,HEN3,126,sell,0,87.09,2.4691184,48.572945437567235
46,20160105,ALV_,126,buy,8250.0,116.63,100.0,60.23594543756724
47,20160105,MTX_,126,buy,11814.0,80.46,100.0,68.28194543756723
48,20160105,DWNI,126,buy,42058.0,22.41,100.0,70.52294543756723
49,20160105,SIE_,126,buy,12996.0,72.35,100.0,77.75794543756723
50,20160105,FME_,126,buy,13062.0,71.43,100.0,84.90094543756723
51,20160105,FRE2,126,buy,15405.0,60.1,100.0,90.91094543756724
52,20160105,HEI_,126,buy,15082.0,60.99,100.0,97.00994543756724
53,20160105,MUV2,126,buy,6460.0,141.45,100.0,111.15494543756724
54,20160105,BAS_,126,buy,17938.0,50.15,100.0,116.16994543756724
55,20160105,SAP_,126,buy,13668.0,65.45,100.0,122.71494543756724
56,20160105,BMW_,126,buy,12205.0,72.76,73.89228,128.09134777246715
57,20160105,DBK_,126,buy,47200.0,18.7,70.87784,129.41676334558727
58,20160105,IFX_,126,buy,72837.0,12.1,33.694107,129.8244620409608
59,20160105,BAYN,126,buy,9533.0,92.4,23.551296,132.0006018129945
60,20160106,VOW3,126,step_sell,0,104.4,0,132.0006018129945
61,20160106,BAY2,126,step_sell,0,94.07,0,132.0006018129945
62,20160106,RWE_,126,sell,0,9.4,0.0,132.0006018129945
63,20160106,BEI_,126,step_sell,0,78.34,0,132.0006018129945
64,20160106,MUV2,126,sell,0,141.85,0.0,132.0006018129945
65,20160106,MRK_,126,step_sell,0,79.08,0,132.0006018129945
66,20160106,HEN3,126,sell,0,86.65,0.0,132.0006018129945
67,20160106,FRE2,126,sell,0,58.87,0.0,132.0006018129945
68,20160106,DPW_,126,step_sell,0,20.28,0,132.0006018129945
69,20160106,SAP2,126,step_sell,0,69.02,0,132.0006018129945
70,20160106,EOAN,126,step_sell,0,5.98,0,132.0006018129945
71,20160106,DAI_,126,sell,0,54.25,0.0,132.0006018129945
72,20160106,LHA_,126,sell,0,13.62,0.0,132.0006018129945
73,20160106,SIE_,126,sell,0,72.07,36.543415,134.63428573705912
74,20160106,CBK_,126,step_sell,0,8.16,0,134.63428573705912
75,20160106,FME_,126,sell,0,72.11,32.492393,136.9773122318864
76,20160106,MTX_,126,sell,0,79.67,18.781353,138.47362262514355
77,20160106,SAP_,126,sell,0,66.02,11.480704,139.2315787235284
78,20160106,CO_N,126,step_sell,0,171.47,0,139.2315787235284
79,20160106,FRE_,126,step_sell,0,57.87,0,139.2315787235284
80,20160106,ALV_,126,buy,7819.0,117.0,100.0,150.9315787235284
81,20160106,DBK_,126,buy,48688.0,18.55,100.0,152.78657872352838
82,20160106,DTE_,126,buy,80187.0,11.24,100.0,153.91057872352837
83,20160106,HEI_,126,buy,15038.0,59.86,100.0,159.89657872352836
84,20160106,DB1_,126,buy,13109.0,68.21,100.0,166.71757872352836
85,20160106,BAS_,126,buy,17995.0,49.31,100.0,171.64857872352837
86,20160106,IFX_,126,buy,75292.0,11.72,85.34066,172.6487712598443
87,20160106,BAYN,126,buy,9678.0,91.07,67.41961,178.7886750578332
88,20160106,BMW_,126,buy,12441.0,70.35,13.749154,179.7559280481267
89,20160106,DWNI,126,buy,39383.0,22.2,6.488538,179.89997358702897
90,20160107,VOW3,126,step_sell,0,100.98,0,179.89997358702897
91,20160107,FME_,126,sell,0,70.59,0.0,179.89997358702897
92,20160107,SAP2,126,step_sell,0,68.37,0,179.89997358702897
93,20160107,IFX_,126,sell,0,11.43,19.034767150878906,180.11754097556351
94,20160107,BMW_,126,sell,0,67.71,0.0,180.11754097556351
95,20160107,CBK_,126,step_sell,0,7.9,0,180.11754097556351
96,20160107,MRK_,126,step_sell,0,76.55,0,180.11754097556351
97,20160107,FRE2,126,step_sell,0,58.22,0,180.11754097556351
98,20160107,DWNI,126,sell,0,21.55,15.312474250793457,180.4475247956681
99,20160107,DAI_,126,step_sell,0,52.17,0,180.4475247956681
100,20160107,RWE_,126,step_sell,0,9.14,0,180.4475247956681
