,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20151231,ALSO,126,step_sell,0,28.16,0,0
1,20151231,CAGR,126,step_sell,0,10.88,0,0
2,20151231,VIE,126,step_sell,0,21.86,0,0
3,20151231,DANO,126,step_sell,0,62.28,0,0
4,20151231,HRMS,126,step_sell,0,311.75,0,0
5,20151231,SCHN,126,step_sell,0,52.56,0,0
6,20151231,LEGD,126,step_sell,0,52.2,0,0
7,20151231,SAF,126,step_sell,0,63.37,0,0
8,20151231,PERP,126,step_sell,0,105.2,0,0
9,20151231,DAST,126,step_sell,0,73.77,0,0
10,20151231,LVMH,126,step_sell,0,144.9,0,0
11,20151231,TCFP,126,step_sell,0,69.1,0,0
12,20151231,AIR,126,step_sell,0,62.0,0,0
13,20151231,VIV,126,buy,50352.0,19.86,100.0,1.986
14,20151231,BNPP,126,buy,19108.0,52.23,100.0,7.209
15,20151231,MICP,126,buy,11294.0,87.9,100.0,15.999
16,20151231,SOGN,126,buy,23114.0,42.57,62.17555,18.64581310192108
17,20151231,PRTP,126,buy,6683.0,146.82,60.334747,27.50416070262909
18,20151231,TOTF,126,buy,23563.0,41.27,57.713516,29.885997517662048
19,20151231,TEPR,126,buy,12517.0,77.5,54.060154,34.07565944965363
20,20151231,SASY,126,buy,12288.0,78.6,48.94069,37.922397611885074
21,20151231,CAPP,126,buy,11238.0,85.6,47.74018,42.00895710285187
22,20151231,ATOS,126,buy,12368.0,77.45,34.285282,44.66435220420838
23,20151231,BOUY,126,buy,26136.0,36.55,34.048946,45.908841194419864
24,20151231,ESLX,126,buy,8292.0,115.05,31.696629,49.555538311462406
25,20151231,PEUP,126,buy,58666.0,16.2,31.379297,50.06388292701722
26,20151231,AIRP,126,buy,10349.0,91.78,22.314913,52.11194562343598
27,20151231,STM,126,buy,153371.0,6.18,17.497784,52.220081926460274
28,20151231,OREP,126,buy,6102.0,155.3,10.63298,53.87138377429963
29,20151231,ENGI,126,buy,57970.0,16.32,2.9585094,53.91966664844514
30,20160104,STM,126,sell,0,6.05,0.0,53.91966664844514
31,20160104,VIE,126,step_sell,0,21.56,0,53.91966664844514
32,20160104,HRMS,126,step_sell,0,311.15,0,53.91966664844514
33,20160104,ENGI,126,sell,0,15.72,0.0,53.91966664844514
34,20160104,DANO,126,step_sell,0,60.81,0,53.91966664844514
35,20160104,SOGN,126,sell,0,41.4,0.0,53.91966664844514
36,20160104,CAPP,126,sell,0,82.85,0.0,53.91966664844514
37,20160104,VIV,126,sell,0,19.18,47.84258,54.837287311515816
38,20160104,DAST,126,step_sell,0,71.54,0,54.837287311515816
39,20160104,ESLX,126,sell,0,111.8,0.0,54.837287311515816
40,20160104,ATOS,126,sell,0,75.3,0.0,54.837287311515816
41,20160104,LVMH,126,step_sell,0,139.2,0,54.837287311515816
42,20160104,TOTF,126,sell,0,40.52,24.071884,55.8126800574875
43,20160104,CAGR,126,step_sell,0,10.62,0,55.8126800574875
44,20160104,TCFP,126,step_sell,0,68.04,0,55.8126800574875
45,20160104,SCHN,126,step_sell,0,51.2,0,55.8126800574875
46,20160104,SAF,126,buy,15428.0,62.27,100.0,62.0396800574875
47,20160104,PRTP,126,buy,6764.0,141.11,100.0,76.1506800574875
48,20160104,BNPP,126,buy,18359.0,51.22,100.0,81.2726800574875
49,20160104,OREP,126,buy,6197.0,150.9,100.0,96.36268005748751
50,20160104,AIRP,126,buy,10303.0,89.3,100.0,105.2926800574875
51,20160104,ALSO,126,buy,32906.0,27.69,100.0,108.06168005748751
52,20160104,SASY,126,buy,11710.0,77.57,100.0,115.81868005748751
53,20160104,PEUP,126,buy,58218.0,15.47,100.0,117.36568005748751
54,20160104,PERP,126,buy,8814.0,102.0,63.60938,123.85383669658663
55,20160104,LEGD,126,buy,17502.0,51.0,59.924633,126.9099929809189
56,20160104,BOUY,126,buy,23938.0,37.16,51.57087,128.82636648952484
57,20160104,TEPR,126,buy,11682.0,75.98,37.248146,131.6564806269455
58,20160104,MICP,126,buy,10337.0,85.59,9.46306,132.46642396478654
59,20160104,AIR,126,buy,14524.0,60.86,6.3929915,132.85550143008234
60,20160105,AIR,126,sell,0,62.09,0.0,132.85550143008234
61,20160105,SOGN,126,step_sell,0,41.73,0,132.85550143008234
