,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20160104,EOAN,126,step_sell,0,5.94,0,0
1,20160104,SAP2,126,step_sell,0,67.67,0,0
2,20160104,MRK_,126,step_sell,0,78.85,0,0
3,20160104,CO_N,126,step_sell,0,175.96,0,0
4,20160104,DAI_,126,step_sell,0,55.67,0,0
5,20160104,DPW_,126,step_sell,0,20.39,0,0
6,20160104,DTE_,126,step_sell,0,11.21,0,0
7,20160104,IFX_,126,step_sell,0,12.24,0,0
8,20160104,HEI_,126,step_sell,0,61.23,0,0
9,20160104,FME_,126,step_sell,0,67.47,0,0
10,20160104,SIE_,126,step_sell,0,71.9,0,0
11,20160104,LHA_,126,step_sell,0,13.0,0,0
12,20160104,CBK_,126,step_sell,0,8.32,0,0
13,20160104,BAS_,126,buy,19829.0,50.43,100.0,5.043
14,20160104,MUV2,126,buy,7010.0,141.93,100.0,19.236
15,20160104,MTX_,126,buy,12227.0,80.21,100.0,27.256999999999998
16,20160104,BAY2,126,buy,10322.0,94.23,100.0,36.68
17,20160104,BAYN,126,buy,10444.0,92.23,100.0,45.903
18,20160104,HEN3,126,buy,10920.0,87.36,100.0,54.638999999999996
19,20160104,BMW_,126,buy,12931.0,73.1,100.0,61.949
20,20160104,DB1_,126,buy,13539.0,69.28,100.0,68.877
21,20160104,DBK_,126,buy,50573.0,18.41,100.0,70.71799999999999
22,20160104,FRE_,126,buy,16160.0,57.5,98.994484,76.41018282699584
23,20160104,VOW3,126,buy,8320.0,110.99,78.52531,85.1257066178131
24,20160104,RWE_,126,buy,99867.0,9.16,74.90865,85.81186988166807
25,20160104,SAP_,126,buy,14134.0,64.67,63.9626,89.94833126945494
26,20160104,DWNI,126,buy,40317.0,22.57,63.08171,91.37208548255919
27,20160104,FRE2,126,buy,15269.0,59.5,61.92664,95.05672053619384
28,20160104,BEI_,126,buy,11600.0,78.0,10.800683,95.89917381187438
29,20160104,ALV_,126,buy,7775.0,116.26,0.4072312,95.94651851254224
30,20160105,EOAN,126,step_sell,0,6.01,0,95.94651851254224
31,20160105,SAP_,126,sell,0,65.45,0.0,95.94651851254224
32,20160105,BMW_,126,sell,0,72.76,0.0,95.94651851254224
33,20160105,CO_N,126,step_sell,0,177.07,0,95.94651851254224
34,20160105,DAI_,126,step_sell,0,55.67,0,95.94651851254224
35,20160105,DTE_,126,step_sell,0,11.17,0,95.94651851254224
36,20160105,HEN3,126,sell,0,87.09,21.666221618652344,97.83342975331067
37,20160105,IFX_,126,step_sell,0,12.1,0,97.83342975331067
38,20160105,SIE_,126,step_sell,0,72.35,0,97.83342975331067
39,20160105,VOW3,126,sell,0,106.6,24.096328735351562,100.40209839649914
40,20160105,RWE_,126,sell,0,9.35,26.955463409423828,100.65413197937725
