,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20160104,SAP2,126,step_sell,0,67.67,0,0
1,20160104,RWE_,126,step_sell,0,9.16,0,0
2,20160104,MUV2,126,step_sell,0,141.93,0,0
3,20160104,LHA_,126,step_sell,0,13.0,0,0
4,20160104,DB1_,126,step_sell,0,69.28,0,0
5,20160104,HEN3,126,step_sell,0,87.36,0,0
6,20160104,DTE_,126,step_sell,0,11.21,0,0
7,20160104,SIE_,126,step_sell,0,71.9,0,0
8,20160104,BEI_,126,step_sell,0,78.0,0,0
9,20160104,DPW_,126,step_sell,0,20.39,0,0
10,20160104,MTX_,126,step_sell,0,80.21,0,0
11,20160104,VOW3,126,step_sell,0,110.99,0,0
12,20160104,BAYN,126,step_sell,0,92.23,0,0
13,20160104,ALV_,126,buy,8601.0,116.26,100.0,11.626
14,20160104,SAP_,126,buy,15283.0,64.67,100.0,18.093
15,20160104,BAY2,126,buy,10420.0,94.23,100.0,27.516
16,20160104,BMW_,126,buy,13303.0,73.1,100.0,34.826
17,20160104,MRK_,126,buy,12240.0,78.85,100.0,42.711
18,20160104,IFX_,126,buy,78206.0,12.24,100.0,43.934999999999995
19,20160104,HEI_,126,buy,15613.0,61.23,100.0,50.05799999999999
20,20160104,FRE_,126,buy,16519.0,57.5,100.0,55.80799999999999
21,20160104,DBK_,126,buy,51283.0,18.41,96.75839,57.58932200286865
22,20160104,DWNI,126,buy,41752.0,22.57,72.94005,59.235578891143795
23,20160104,CBK_,126,buy,113065.0,8.32,68.21574,59.80313381790161
24,20160104,CO_N,126,buy,5342.0,175.96,50.086052,68.61627551742554
25,20160104,FME_,126,buy,13803.0,67.47,45.60621,71.6933264252472
26,20160104,BAS_,126,buy,18406.0,50.43,44.252056,73.92495761547089
27,20160104,EOAN,126,buy,155892.0,5.94,37.92922,74.15025717212677
28,20160104,FRE2,126,buy,15559.0,59.5,34.74297,76.21746385814667
29,20160104,DAI_,126,buy,16592.0,55.67,16.521465,77.13721383148194
30,20160105,VOW3,126,step_sell,0,106.6,0,77.13721383148194
31,20160105,MTX_,126,step_sell,0,80.46,0,77.13721383148194
32,20160105,RWE_,126,step_sell,0,9.35,0,77.13721383148194
33,20160105,DWNI,126,sell,0,22.41,0.0,77.13721383148194
34,20160105,DTE_,126,step_sell,0,11.17,0,77.13721383148194
35,20160105,DPW_,126,step_sell,0,20.39,0,77.13721383148194
36,20160105,DB1_,126,step_sell,0,69.07,0,77.13721383148194
37,20160105,DBK_,126,sell,0,18.7,0.0,77.13721383148194
38,20160105,BMW_,126,sell,0,72.76,0.0,77.13721383148194
39,20160105,BEI_,126,step_sell,0,78.85,0,77.13721383148194
40,20160105,BAYN,126,step_sell,0,92.4,0,77.13721383148194
41,20160105,MUV2,126,step_sell,0,141.45,0,77.13721383148194
42,20160105,BAY2,126,sell,0,94.4,37.62017059326172,80.68855793548585
43,20160105,SAP2,126,step_sell,0,68.45,0,80.68855793548585
44,20160105,IFX_,126,sell,0,12.1,49.74808,81.29050971809387
45,20160105,DAI_,126,sell,0,55.67,0.0,81.29050971809387
46,20160105,HEI_,126,sell,0,60.99,30.187359,83.13163673473358
47,20160105,EOAN,126,buy,156861.0,6.01,100.0,83.73263673473357
48,20160105,LHA_,126,buy,70256.0,13.41,100.0,85.07363673473357
49,20160105,CO_N,126,buy,5313.0,177.07,100.0,102.78063673473358
50,20160105,SIE_,126,buy,12758.0,72.35,100.0,110.01563673473358
51,20160105,FME_,126,buy,12821.0,71.43,100.0,117.15863673473358
52,20160105,FRE2,126,buy,15119.0,60.1,100.0,123.16863673473358
53,20160105,FRE_,126,buy,15536.0,58.1,100.0,128.97863673473358
54,20160105,ALV_,126,buy,7689.0,116.63,100.0,140.6416367347336
55,20160105,MRK_,126,buy,11037.0,80.2,100.0,148.6616367347336
56,20160105,SAP_,126,buy,13401.0,65.45,100.0,155.2066367347336
57,20160105,CBK_,126,buy,104512.0,8.33,42.181705,155.55801034133913
58,20160105,HEN3,126,buy,9992.0,87.09,18.251722,157.1475528395653
59,20160105,BAS_,126,buy,17320.0,50.15,0.68884265,157.18209829867484
60,20160106,BAS_,126,sell,0,49.31,0.0,157.18209829867484
61,20160106,SAP2,126,step_sell,0,69.02,0,157.18209829867484
62,20160106,MTX_,126,step_sell,0,79.67,0,157.18209829867484
63,20160106,DPW_,126,step_sell,0,20.28,0,157.18209829867484
64,20160106,HEN3,126,sell,0,86.65,0.0,157.18209829867484
65,20160106,EOAN,126,sell,0,5.98,68.795876,157.59349763445977
66,20160106,FRE2,126,sell,0,58.87,59.170006,161.07683587580803
67,20160106,VOW3,126,step_sell,0,104.4,0,161.07683587580803
68,20160106,HEI_,126,sell,0,59.86,23.26593780517578,162.46953491282585
69,20160106,BEI_,126,step_sell,0,78.34,0,162.46953491282585
70,20160106,MUV2,126,step_sell,0,141.85,0,162.46953491282585
71,20160106,IFX_,126,sell,0,11.72,16.791431427001953,162.6663304891503
72,20160106,BAYN,126,step_sell,0,91.07,0,162.6663304891503
73,20160106,DAI_,126,step_sell,0,54.25,0,162.6663304891503
74,20160106,SIE_,126,sell,0,72.07,16.614332,163.86372541073922
75,20160106,FRE_,126,sell,0,57.87,10.61058,164.47775970105295
76,20160106,ALV_,126,buy,7532.0,117.0,100.0,176.17775970105293
77,20160106,SAP_,126,buy,13171.0,66.02,100.0,182.77975970105294
78,20160106,BAY2,126,buy,9173.0,94.07,100.0,192.18675970105295
79,20160106,MRK_,126,buy,10793.0,79.08,100.0,200.09475970105294
80,20160106,CO_N,126,buy,4931.0,171.47,100.0,217.24175970105293
81,20160106,BMW_,126,buy,11776.0,70.35,100.0,224.27675970105292
82,20160106,FME_,126,buy,11391.0,72.11,100.0,231.48775970105294
83,20160106,DTE_,126,buy,72438.0,11.24,99.10362,232.60168441723945
84,20160106,LHA_,126,buy,59698.0,13.62,86.5749,233.7808345248139
85,20160106,DWNI,126,buy,36572.0,22.2,81.49766,235.59008252743843
86,20160106,CBK_,126,buy,99276.0,8.16,68.093475,236.1457252862275
87,20160106,DBK_,126,buy,43641.0,18.55,65.28013,237.35667166951302
88,20160106,DB1_,126,buy,11850.0,68.21,55.484627,241.14127806149605
89,20160106,RWE_,126,buy,85589.0,9.4,0.9481296,241.15019047968272
