,datadate,tic,iter_num,action_performed,available_amount,stock_value,nb_stock_traded,trade_cost
0,20151231,LVMH,126,step_sell,0,144.9,0,0
1,20151231,AIRP,126,step_sell,0,91.78,0,0
2,20151231,STM,126,step_sell,0,6.18,0,0
3,20151231,ATOS,126,step_sell,0,77.45,0,0
4,20151231,SCHN,126,step_sell,0,52.56,0,0
5,20151231,PERP,126,step_sell,0,105.2,0,0
6,20151231,OREP,126,step_sell,0,155.3,0,0
7,20151231,LEGD,126,step_sell,0,52.2,0,0
8,20151231,BOUY,126,step_sell,0,36.55,0,0
9,20151231,AIR,126,step_sell,0,62.0,0,0
10,20151231,CAPP,126,step_sell,0,85.6,0,0
11,20151231,TCFP,126,step_sell,0,69.1,0,0
12,20151231,SASY,126,step_sell,0,78.6,0,0
13,20151231,ENGI,126,buy,61274.0,16.32,100.0,1.6320000000000001
14,20151231,SAF,126,buy,15754.0,63.37,100.0,7.968999999999999
15,20151231,DANO,126,buy,15928.0,62.28,100.0,14.197
16,20151231,TEPR,126,buy,12719.0,77.5,100.0,21.947
17,20151231,VIE,126,buy,44740.0,21.86,100.0,24.133
18,20151231,MICP,126,buy,11101.0,87.9,100.0,32.923
19,20151231,CAGR,126,buy,88882.0,10.88,100.0,34.011
20,20151231,DAST,126,buy,13094.0,73.77,100.0,41.388000000000005
21,20151231,SOGN,126,buy,22517.0,42.57,70.584366,44.39277645401002
22,20151231,PRTP,126,buy,6508.0,146.82,58.7864,53.02379567871095
23,20151231,BNPP,126,buy,18129.0,52.23,46.93954,55.47544789798737
24,20151231,TOTF,126,buy,22885.0,41.27,39.402836,57.10160293334962
25,20151231,ALSO,126,buy,33481.0,28.16,38.545372,58.18704060913087
26,20151231,VIV,126,buy,47419.0,19.86,36.493225,58.91179605957032
27,20151231,PEUP,126,buy,58088.0,16.2,36.215405,59.49848561264039
28,20151231,ESLX,126,buy,8174.0,115.05,23.683907,62.22331906181336
29,20151231,HRMS,126,buy,3007.0,311.75,9.864015,65.29842562132836
30,20160104,AIRP,126,step_sell,0,89.3,0,65.29842562132836
31,20160104,ALSO,126,sell,0,27.69,0.0,65.29842562132836
32,20160104,BOUY,126,step_sell,0,37.16,0,65.29842562132836
33,20160104,SCHN,126,step_sell,0,51.2,0,65.29842562132836
34,20160104,LVMH,126,step_sell,0,139.2,0,65.29842562132836
35,20160104,ENGI,126,sell,0,15.72,39.9541015625,65.92650409789087
36,20160104,STM,126,step_sell,0,6.05,0,65.92650409789087
37,20160104,PERP,126,step_sell,0,102.0,0,65.92650409789087
38,20160104,PEUP,126,sell,0,15.47,14.385136,66.14904214640619
39,20160104,VIV,126,buy,48846.0,19.18,100.0,68.0670421464062
40,20160104,MICP,126,buy,10923.0,85.59,100.0,76.62604214640619
41,20160104,ATOS,126,buy,12302.0,75.3,100.0,84.1560421464062
42,20160104,BNPP,126,buy,17939.0,51.22,100.0,89.2780421464062
43,20160104,CAGR,126,buy,86037.0,10.62,100.0,90.34004214640619
44,20160104,CAPP,126,buy,11015.0,82.85,100.0,98.62504214640619
45,20160104,DANO,126,buy,14871.0,60.81,100.0,104.70604214640619
46,20160104,ESLX,126,buy,8034.0,111.8,100.0,115.8860421464062
47,20160104,VIE,126,buy,41144.0,21.56,100.0,118.0420421464062
48,20160104,AIR,126,buy,14540.0,60.86,100.0,124.1280421464062
49,20160104,HRMS,126,buy,2824.0,311.15,83.5598,150.12767366572382
50,20160104,DAST,126,buy,11920.0,71.54,79.34754,155.80419680674555
51,20160104,TCFP,126,buy,12450.0,68.04,78.09596,161.11784609690667
52,20160104,TEPR,126,buy,11079.0,75.98,77.020096,166.969832977705
53,20160104,SOGN,126,buy,20191.0,41.4,63.532185,169.60006542017936
54,20160104,TOTF,126,buy,20565.0,40.52,56.83992,171.90321898036004
55,20160104,PRTP,126,buy,5889.0,141.11,54.390015,179.57819394740105
56,20160104,LEGD,126,buy,16143.0,51.0,51.06071,182.18229020365715
57,20160104,OREP,126,buy,5438.0,150.9,14.481932,184.3676136951351
58,20160104,SAF,126,buy,13144.0,62.27,5.853838,184.73213218533516
59,20160104,SASY,126,buy,10547.0,77.57,1.4002695,184.84075109109878
60,20160105,AIRP,126,step_sell,0,88.77,0,184.84075109109878
61,20160105,ATOS,126,sell,0,76.17,0.0,184.84075109109878
62,20160105,OREP,126,sell,0,151.5,0.0,184.84075109109878
63,20160105,BOUY,126,step_sell,0,37.3,0,184.84075109109878
64,20160105,SCHN,126,step_sell,0,51.43,0,184.84075109109878
65,20160105,STM,126,step_sell,0,6.07,0,184.84075109109878
66,20160105,DANO,126,sell,0,61.19,90.8242,190.39828410272597
67,20160105,ALSO,126,step_sell,0,27.68,0,190.39828410272597
68,20160105,SASY,126,sell,0,78.49,0.0,190.39828410272597
69,20160105,LVMH,126,step_sell,0,139.45,0,190.39828410272597
70,20160105,PEUP,126,sell,0,15.61,7.3798194,190.51348308345317
71,20160105,VIV,126,buy,43260.0,19.27,100.0,192.44048308345316
72,20160105,SAF,126,buy,13427.0,61.94,100.0,198.63448308345315
73,20160105,CAPP,126,buy,9895.0,83.42,100.0,206.97648308345316
74,20160105,DAST,126,buy,11403.0,71.66,100.0,214.14248308345316
75,20160105,ENGI,126,buy,51427.0,15.75,100.0,215.71748308345315
76,20160105,ESLX,126,buy,7163.0,112.85,100.0,227.00248308345314
77,20160105,HRMS,126,buy,2621.0,304.1,100.0,257.41248308345314
78,20160105,LEGD,126,buy,15035.0,50.99,100.0,262.51148308345313
79,20160105,VIE,126,buy,35405.0,21.51,100.0,264.66248308345314
80,20160105,AIR,126,buy,12230.0,62.09,100.0,270.87148308345314
81,20160105,TCFP,126,buy,10949.0,68.79,100.0,277.75048308345316
82,20160105,BNPP,126,buy,14494.0,51.49,93.15491,282.54702925654885
83,20160105,PRTP,126,buy,5286.0,140.27,82.19314,294.07626074100017
84,20160105,CAGR,126,buy,68477.0,10.66,69.11087,294.8129826190519
85,20160105,MICP,126,buy,8583.0,84.96,62.23064,300.1000978284025
86,20160105,SOGN,126,buy,17348.0,41.73,52.192432,302.27808803260325
87,20160105,PERP,126,buy,7076.0,102.0,51.913548,307.5732698792219
88,20160105,TEPR,126,buy,9474.0,75.62,43.17801,310.8383909223127
89,20160105,TOTF,126,buy,17758.0,40.16,13.868237,311.3953393018293
90,20160106,AIRP,126,step_sell,0,87.53,0,311.3953393018293
91,20160106,ALSO,126,step_sell,0,27.48,0,311.3953393018293
92,20160106,TOTF,126,sell,0,39.77,10.110992431640625,311.79745347083565
93,20160106,BNPP,126,sell,0,50.5,100.0,316.84745347083566
94,20160106,STM,126,step_sell,0,5.93,0,316.84745347083566
95,20160106,SCHN,126,step_sell,0,50.52,0,316.84745347083566
96,20160106,LEGD,126,sell,0,50.25,51.06071090698242,319.41325419391154
97,20160106,SASY,126,step_sell,0,77.43,0,319.41325419391154
98,20160106,CAPP,126,sell,0,82.8,31.412432,322.01420354007246
99,20160106,ENGI,126,sell,0,15.64,25.867477,322.4187708868742
